"dep_delay","arr_delay","air_time","origin","dest","carrier","month","day","hour"
-11,-24,85,"EWR","CVG","EV",4,30,20
15,-6,79,"EWR","DAY","EV",11,14,12
-5,-25,114,"LGA","BNA","EV",10,25,8
-3,-18,139,"LGA","MEM","EV",10,7,9
-5,-18,106,"LGA","ATL","DL",11,14,11
-8,-16,186,"LGA","DFW","AA",9,5,6
-9,-14,57,"JFK","ORF","MQ",6,19,17
19,10,176,"EWR","MSY","EV",11,17,20
54,82,93,"JFK","CLT","B6",7,16,8
39,24,304,"EWR","PHX","WN",12,1,13
16,20,80,"JFK","RDU","MQ",1,23,19
-7,-26,141,"LGA","MSP","DL",9,20,16
-3,-14,107,"LGA","ATL","FL",5,18,6
4,5,155,"JFK","MCO","B6",1,3,16
18,0,154,"LGA","MIA","AA",11,7,16
-3,-8,203,"LGA","IAH","UA",6,6,10
30,46,118,"LGA","ATL","FL",11,1,17
-8,-34,306,"JFK","LAX","UA",9,5,6
-9,-43,318,"EWR","SFO","UA",11,12,10
-4,-28,134,"EWR","MIA","AA",8,8,11
0,-35,196,"EWR","IAH","UA",11,30,15
-9,-27,317,"EWR","SEA","AS",8,27,18
32,11,296,"EWR","LAS","UA",5,28,9
12,1,144,"JFK","RSW","B6",8,30,6
13,14,81,"EWR","GSO","EV",11,27,16
-4,38,400,"EWR","SFO","UA",1,24,19
-8,-7,53,"JFK","ROC","B6",2,14,9
21,20,111,"LGA","BNA","MQ",11,14,21
-1,12,65,"JFK","BUF","9E",12,18,15
15,-8,123,"LGA","MCO","DL",5,31,13
-8,-25,152,"LGA","MIA","AA",9,24,19
-8,-15,85,"LGA","CMH","MQ",2,13,8
-6,-5,157,"EWR","RSW","UA",6,7,6
-8,-9,38,"LGA","BOS","US",4,30,6
-4,-24,283,"EWR","PHX","UA",8,17,7
5,-25,67,"JFK","RDU","9E",3,10,16
-6,-1,141,"EWR","MCO","B6",4,14,12
-8,27,98,"LGA","RDU","MQ",9,1,16
-8,-42,268,"EWR","LAS","UA",7,18,9
2,-7,298,"JFK","LAS","VX",5,30,9
4,-3,112,"LGA","ATL","DL",6,9,7
80,67,80,"LGA","CMH","MQ",8,1,19
-8,-20,44,"LGA","IAD","EV",8,23,6
-6,-14,309,"EWR","LAS","UA",10,17,19
107,83,78,"EWR","DAY","EV",6,13,20
0,-7,87,"LGA","CLT","US",12,20,18
3,-6,181,"JFK","MSY","B6",4,14,20
-5,-16,133,"JFK","MCO","B6",11,25,18
-8,13,49,"LGA","BOS","US",10,23,18
21,18,118,"LGA","MDW","WN",11,24,13
-1,0,197,"JFK","SJU","AA",2,4,15
3,46,361,"JFK","LAX","DL",12,10,9
-5,-12,188,"LGA","DFW","AA",5,20,6
10,75,346,"JFK","SFO","AA",7,22,15
0,8,95,"EWR","CVG","EV",7,12,8
9,-1,39,"EWR","BWI","EV",1,10,13
-6,-14,191,"EWR","MSY","WN",11,25,18
1,-21,328,"EWR","SEA","AS",2,16,7
4,-3,42,"EWR","MHT","EV",5,2,14
13,7,138,"LGA","PBI","DL",7,12,18
3,-17,186,"JFK","SJU","B6",4,4,13
-5,-37,118,"EWR","MCO","UA",7,30,21
95,104,126,"LGA","ORD","AA",2,5,14
0,-9,343,"JFK","SFO","VX",8,8,7
27,39,139,"EWR","JAX","EV",2,4,20
-6,0,64,"JFK","BUF","9E",1,6,14
23,3,74,"EWR","DTW","EV",9,20,13
0,7,180,"LGA","MIA","DL",3,1,19
-2,-28,140,"EWR","MIA","AA",5,19,12
18,13,123,"EWR","ORD","UA",4,30,6
-10,-26,57,"JFK","RIC","9E",4,8,18
-8,-16,94,"LGA","TYS","9E",5,28,20
10,-7,185,"JFK","BQN","B6",7,14,5
-7,-31,328,"JFK","SFO","UA",2,16,14
69,88,117,"EWR","SDF","EV",10,21,16
-3,-6,345,"JFK","LAX","DL",3,4,12
21,0,206,"EWR","DEN","UA",8,21,15
88,72,320,"JFK","SFO","UA",7,7,12
71,47,156,"EWR","MCI","EV",2,16,14
1,-5,104,"EWR","MDW","WN",9,23,12
68,45,144,"EWR","FLL","UA",12,3,21
-3,-14,215,"EWR","AUS","UA",3,9,19
-7,26,301,"EWR","PHX","US",7,28,10
-1,-37,118,"LGA","STL","WN",5,5,6
9,20,136,"EWR","MCO","UA",7,22,12
-2,10,108,"JFK","ATL","DL",6,29,8
18,10,134,"JFK","MCO","B6",2,21,17
-7,-37,114,"LGA","ORD","UA",6,16,17
-10,4,80,"EWR","DTW","DL",10,23,18
-5,-11,107,"LGA","ATL","MQ",10,31,8
93,95,41,"JFK","BOS","AA",5,27,12
-7,-27,101,"EWR","BNA","EV",9,18,6
16,14,218,"JFK","HOU","B6",3,11,20
0,-20,125,"JFK","TPA","B6",8,24,6
-8,-10,91,"EWR","CVG","EV",5,17,20
-6,-16,101,"EWR","MDW","WN",7,7,12
-2,-3,113,"LGA","ATL","DL",5,1,7
2,-9,42,"LGA","DCA","US",5,2,15
-7,-38,322,"JFK","SEA","DL",8,26,19
24,-18,339,"JFK","SFO","DL",3,1,19
64,122,113,"JFK","ATL","DL",7,12,16
-6,-28,198,"LGA","DFW","AA",12,12,11
3,11,33,"JFK","BOS","AA",4,25,19
-6,-21,39,"LGA","DCA","US",8,15,18
0,-7,65,"EWR","RDU","EV",3,9,10
20,19,360,"EWR","SFO","UA",11,7,18
-6,-6,180,"EWR","MSY","EV",4,13,15
14,-18,181,"EWR","HOU","WN",7,20,6
16,17,131,"EWR","ORD","UA",2,7,14
65,84,72,"LGA","DTW","DL",3,8,7
31,24,235,"LGA","DEN","F9",6,23,17
1,-8,102,"EWR","CVG","9E",12,28,17
-7,-17,202,"JFK","SJU","B6",5,30,22
-13,-16,147,"LGA","MIA","AA",9,1,15
-3,-32,290,"JFK","LAS","B6",5,7,9
-6,-16,54,"LGA","PIT","EV",10,12,13
0,-12,162,"LGA","PBI","AA",12,2,15
-4,-23,120,"LGA","MKE","WN",1,11,15
-6,-16,283,"JFK","SLC","DL",12,28,11
51,57,168,"JFK","FLL","B6",12,10,18
5,-30,197,"JFK","DFW","AA",3,30,16
-20,-6,145,"LGA","FLL","B6",4,9,21
1,-5,297,"EWR","LAS","UA",9,22,17
-2,10,122,"LGA","ORD","AA",1,31,8
-2,3,143,"JFK","ORD","B6",8,7,15
-8,-35,107,"LGA","ORD","AA",9,14,6
28,22,85,"LGA","RDU","MQ",1,2,17
9,49,35,"JFK","PHL","9E",5,6,13
0,2,152,"JFK","FLL","B6",11,8,10
-6,-20,150,"JFK","MSP","9E",7,30,8
-5,-9,272,"JFK","PHX","US",6,30,6
3,-6,105,"EWR","ATL","EV",4,10,13
-6,-18,95,"LGA","DTW","DL",1,6,12
22,34,98,"JFK","RDU","B6",6,3,17
-7,9,125,"LGA","ATL","DL",1,6,16
0,-18,317,"EWR","LAX","VX",9,4,18
-4,14,55,"JFK","ROC","B6",2,21,22
21,-4,615,"EWR","HNL","UA",11,24,9
-9,-17,199,"LGA","DFW","AA",2,3,6
-8,-11,80,"LGA","CLE","MQ",1,20,14
-8,-53,132,"JFK","FLL","DL",10,1,20
-1,30,53,"JFK","BOS","B6",10,31,16
-2,-28,342,"JFK","SFO","B6",9,2,18
-2,-14,145,"EWR","MIA","UA",5,17,5
41,5,112,"JFK","ORD","AA",7,24,17
9,-6,152,"LGA","FLL","DL",9,4,18
-10,10,105,"EWR","DAY","EV",10,1,20
-5,-6,201,"EWR","SJU","B6",8,20,7
4,-14,171,"EWR","MSY","EV",12,2,20
-8,-34,183,"LGA","DFW","AA",5,19,8
-7,-13,85,"EWR","CLT","US",10,21,5
-11,-24,328,"EWR","SEA","AS",11,23,18
-7,-22,75,"LGA","DTW","DL",6,27,6
-2,-13,149,"LGA","FLL","DL",1,25,7
27,67,133,"JFK","PBI","B6",3,8,9
-1,-6,313,"JFK","LAS","DL",10,14,8
-6,-19,66,"LGA","CLE","MQ",3,10,11
14,-23,139,"EWR","FLL","UA",2,10,14
46,20,102,"LGA","MDW","WN",5,24,17
-6,-13,82,"LGA","CLT","MQ",3,3,9
0,0,143,"LGA","FLL","B6",11,23,6
-6,-16,75,"JFK","CLE","MQ",9,22,14
-4,-6,134,"LGA","TPA","DL",7,9,15
9,-3,147,"LGA","PBI","DL",4,3,19
-1,-26,312,"JFK","SAN","B6",1,4,8
-2,9,132,"LGA","ATL","DL",1,22,6
-1,-2,107,"EWR","MDW","WN",8,8,6
-1,15,50,"LGA","DCA","US",11,26,7
8,9,51,"LGA","DCA","US",12,23,21
-3,-4,124,"LGA","ATL","DL",2,4,16
-4,-29,128,"LGA","MCO","DL",8,10,17
0,-12,148,"EWR","MIA","UA",1,24,6
-5,8,63,"LGA","PIT","EV",11,30,13
51,40,151,"EWR","MIA","UA",6,25,18
-11,-28,219,"LGA","DEN","F9",9,24,17
83,88,360,"JFK","SFO","B6",6,13,9
-6,-10,135,"JFK","MCO","B6",9,11,15
39,90,280,"JFK","SLC","B6",7,23,19
72,81,48,"EWR","PWM","EV",3,7,19
0,-14,317,"JFK","PDX","B6",10,10,20
17,-5,50,"JFK","DCA","9E",12,7,15
-2,-31,333,"JFK","LAX","DL",3,5,14
-8,-25,43,"LGA","BOS","US",9,19,10
-1,-1,139,"EWR","MCO","UA",4,29,21
3,-19,112,"EWR","BNA","WN",11,28,13
-7,-18,116,"EWR","ORD","MQ",11,25,10
22,4,142,"LGA","MSP","DL",6,21,11
-2,-19,61,"LGA","RDU","MQ",10,2,15
-6,-4,225,"EWR","DFW","AA",11,25,14
-1,17,363,"JFK","LAX","DL",12,9,15
69,54,143,"EWR","MSP","EV",3,5,15
91,96,79,"EWR","DTW","EV",3,7,6
-2,-1,91,"EWR","DTW","EV",4,3,8
-4,-1,79,"EWR","DTW","EV",8,8,8
-10,-31,75,"EWR","CLT","US",9,4,6
-1,12,144,"LGA","TPA","B6",12,3,16
58,51,49,"EWR","RIC","EV",10,18,21
-8,-11,37,"LGA","BOS","US",6,16,12
-5,16,93,"JFK","CVG","MQ",7,2,16
-5,-10,174,"EWR","RSW","UA",3,14,10
-3,-10,49,"JFK","SYR","9E",12,16,19
-5,-11,45,"LGA","IAD","EV",8,16,6
-5,-42,97,"LGA","ATL","DL",10,1,12
-2,-17,114,"LGA","ORD","AA",5,3,6
22,3,146,"LGA","MEM","EV",12,13,10
-1,10,132,"LGA","ORD","AA",9,12,11
92,84,39,"EWR","BOS","B6",2,19,12
46,54,110,"EWR","GRR","EV",1,23,18
-7,-14,134,"EWR","MCO","B6",8,24,11
11,21,164,"EWR","PBI","UA",2,13,13
-6,-21,127,"JFK","MCO","DL",6,5,19
-6,-18,107,"LGA","ATL","FL",4,30,14
27,19,139,"EWR","TPA","B6",12,18,15
-3,-5,249,"JFK","ABQ","B6",10,12,19
-6,-9,137,"LGA","MCO","DL",12,25,12
2,-5,46,"LGA","RIC","EV",5,25,16
92,77,163,"LGA","RSW","DL",12,25,16
-13,-22,75,"LGA","CLT","MQ",9,9,21
-5,-9,342,"JFK","LAX","B6",10,4,16
1,14,140,"LGA","MCO","B6",4,25,7
-5,-6,196,"LGA","DFW","AA",11,19,11
84,96,91,"EWR","CHS","EV",5,16,14
86,81,111,"JFK","JAX","B6",6,25,8
-8,-16,208,"EWR","DFW","UA",12,4,7
-2,-10,129,"EWR","MCO","UA",12,1,20
15,-12,126,"EWR","MCO","UA",7,9,15
70,46,130,"LGA","STL","WN",3,30,6
-3,-3,57,"JFK","IAD","EV",11,23,14
-6,14,131,"JFK","JAX","B6",4,13,8
-2,3,98,"EWR","CLT","EV",10,18,6
-3,-5,330,"JFK","PDX","DL",5,17,17
-2,-11,71,"EWR","CLT","US",8,25,15
-12,-51,145,"JFK","MCI","9E",8,29,17
3,1,348,"JFK","SFO","VX",6,5,10
-1,-17,116,"JFK","IND","9E",12,31,14
-3,-4,108,"JFK","ATL","DL",10,25,6
-4,-27,45,"LGA","DCA","US",10,26,9
1,-20,202,"EWR","STT","UA",11,9,9
-7,-18,226,"LGA","DEN","DL",4,20,17
-4,-6,160,"EWR","MIA","UA",2,17,14
-3,-21,40,"JFK","BOS","AA",6,14,8
-3,-15,105,"EWR","ATL","DL",6,3,11
9,-10,101,"LGA","MDW","WN",7,26,9
-1,1,79,"LGA","RDU","MQ",3,17,10
-3,-19,141,"LGA","MSP","MQ",9,10,14
23,-5,96,"JFK","IND","MQ",8,20,15
23,-3,316,"JFK","LAX","VX",8,18,16
-8,-38,82,"JFK","CHS","9E",10,1,18
4,7,158,"LGA","TPA","B6",11,10,16
11,28,94,"LGA","CMH","MQ",12,14,12
27,80,34,"JFK","PHL","9E",7,2,16
-4,-2,143,"LGA","PBI","DL",11,3,14
4,3,224,"LGA","IAH","UA",3,18,14
21,-5,46,"JFK","SYR","B6",1,19,14
85,98,345,"JFK","PDX","B6",3,7,20
-5,-9,133,"JFK","MCO","AA",8,20,15
5,-1,152,"EWR","FLL","B6",10,18,12
-2,-7,235,"LGA","DEN","UA",3,18,15
0,1,118,"JFK","JAX","B6",1,11,8
-2,-28,291,"EWR","LAX","UA",7,15,10
-6,-20,69,"JFK","RDU","9E",4,15,16
-8,0,333,"EWR","LAX","VX",9,25,9
18,8,164,"JFK","RSW","B6",1,9,11
71,50,59,"LGA","PIT","EV",3,31,11
-12,-19,68,"LGA","RDU","MQ",11,13,6
-10,-26,37,"LGA","DCA","US",5,27,21
-4,-34,319,"EWR","SNA","UA",9,8,18
-3,-36,341,"JFK","SFO","DL",5,15,16
-1,-24,311,"JFK","SAN","DL",6,22,17
42,34,43,"EWR","BOS","UA",7,26,19
0,-11,203,"LGA","IAH","UA",3,5,12
52,80,66,"JFK","RDU","9E",4,10,16
-1,-12,35,"EWR","BOS","UA",10,15,10
-1,-16,355,"JFK","SFO","VX",5,18,18
12,26,172,"JFK","FLL","B6",6,8,8
62,57,152,"LGA","MIA","DL",1,25,19
23,63,112,"LGA","MDW","WN",12,17,11
-2,-6,149,"EWR","MIA","AA",8,20,6
-2,-12,136,"EWR","MCO","UA",3,5,14
97,97,112,"EWR","SDF","EV",4,25,15
38,30,89,"EWR","DTW","DL",12,22,16
-4,-29,215,"EWR","DEN","UA",3,21,6
-4,-22,336,"JFK","SFO","B6",9,14,8
0,28,160,"JFK","PBI","B6",11,24,13
-2,-6,106,"LGA","ATL","DL",8,4,18
-4,9,188,"EWR","OMA","EV",11,11,20
-3,-14,28,"JFK","PHL","9E",10,24,19
33,26,86,"EWR","DTW","EV",6,26,12
0,2,121,"LGA","ORD","AA",2,12,8
-6,-19,146,"EWR","STL","EV",12,4,7
0,0,138,"JFK","TPA","B6",6,23,10
-6,-19,49,"JFK","BUF","B6",5,4,12
36,36,53,"EWR","BUF","EV",1,24,13
-5,-21,91,"JFK","DTW","9E",4,13,18
5,-7,119,"LGA","ORD","AA",4,7,15
57,45,48,"EWR","IAD","EV",12,26,10
4,19,89,"EWR","CLT","US",5,26,10
-5,-15,49,"JFK","BUF","B6",3,10,14
-2,-17,118,"JFK","MCO","B6",6,12,9
-2,-15,157,"JFK","FLL","B6",1,19,8
0,-1,123,"LGA","MKE","WN",3,11,6
96,104,38,"JFK","BOS","DL",12,2,14
73,87,348,"JFK","SFO","UA",8,2,10
32,24,163,"EWR","FLL","UA",12,10,21
-3,14,172,"EWR","DSM","EV",12,12,19
26,20,124,"EWR","ORD","UA",12,21,6
20,-23,310,"JFK","PDX","DL",7,3,16
-5,24,91,"JFK","DTW","9E",1,25,18
31,14,85,"LGA","CLT","EV",10,17,8
31,-1,185,"EWR","IAH","UA",3,15,13
-3,-21,194,"EWR","SJU","B6",4,11,7
10,-18,115,"JFK","JAX","9E",8,17,19
-11,-30,87,"LGA","TYS","9E",9,16,20
1,-16,357,"EWR","SFO","UA",3,4,11
-8,-17,39,"LGA","DCA","US",10,31,11
10,7,133,"EWR","STL","WN",4,7,17
-7,-48,261,"EWR","PHX","UA",8,31,12
2,-1,63,"JFK","BUF","B6",12,30,16
-11,-11,359,"JFK","SFO","UA",11,1,6
-10,-19,111,"EWR","MDW","WN",4,16,20
6,-17,125,"JFK","MCO","B6",8,25,14
17,2,116,"JFK","JAX","B6",6,2,14
-7,-15,56,"JFK","BUF","B6",8,27,6
5,-21,139,"LGA","MEM","EV",10,30,13
-8,2,78,"LGA","CLT","MQ",10,6,9
64,93,165,"LGA","PBI","B6",3,20,14
-3,-3,215,"JFK","AUS","AA",8,11,17
-3,-10,120,"EWR","ATL","EV",6,8,9
89,116,125,"JFK","MCO","B6",5,22,20
-2,-11,143,"EWR","FLL","B6",11,4,6
29,21,229,"EWR","DEN","UA",12,23,7
-7,-29,198,"JFK","SJU","AA",10,27,8
-3,-8,70,"JFK","RDU","MQ",8,19,12
3,-12,120,"LGA","MDW","WN",7,11,11
0,-33,169,"EWR","IAH","UA",7,15,21
-10,-16,50,"LGA","IAD","EV",10,24,19
-5,-25,89,"LGA","CLT","US",1,10,6
-6,-20,112,"LGA","ORD","UA",10,1,8
-1,-11,147,"EWR","MSP","EV",9,22,13
-13,-44,202,"LGA","DFW","AA",5,15,16
-1,-13,155,"EWR","MIA","UA",5,24,8
43,57,74,"LGA","CAK","FL",1,16,11
-2,-23,187,"JFK","SJU","B6",4,3,22
-3,-30,139,"LGA","MIA","DL",5,14,19
-3,-21,79,"LGA","DTW","DL",12,1,6
-6,-14,155,"EWR","MSY","EV",6,26,15
4,40,169,"JFK","FLL","B6",12,29,13
-8,-2,119,"JFK","BNA","MQ",7,27,16
4,-5,314,"EWR","LAX","UA",8,15,20
10,-2,47,"JFK","IAD","B6",10,2,18
-4,-14,131,"JFK","MCO","B6",3,31,6
1,-31,34,"EWR","BOS","UA",1,2,6
-3,2,140,"LGA","PBI","B6",10,3,16
7,-12,107,"EWR","MKE","EV",3,3,15
-1,-1,170,"LGA","FLL","DL",12,15,18
58,92,101,"EWR","CLT","EV",3,19,9
-1,-27,100,"LGA","ATL","DL",9,20,6
-8,-46,267,"JFK","LAS","B6",7,14,9
8,-4,134,"LGA","MIA","AA",9,9,13
-1,-15,47,"JFK","DCA","MQ",6,5,17
0,1,102,"JFK","CHS","B6",11,12,7
-4,-13,79,"JFK","CLT","US",8,6,10
36,10,290,"EWR","LAX","UA",8,22,17
70,66,290,"JFK","SLC","DL",1,25,6
-1,8,175,"EWR","FLL","UA",2,22,16
-1,-25,78,"EWR","DTW","EV",3,29,10
-8,-27,130,"EWR","MCO","UA",4,8,11
-9,-29,126,"JFK","MCO","DL",3,9,8
5,5,133,"JFK","MCO","B6",5,23,10
-7,-7,45,"LGA","DCA","US",10,17,21
-1,-19,146,"LGA","PBI","B6",1,28,9
18,21,234,"EWR","DEN","UA",10,15,14
-4,-25,182,"EWR","DFW","AA",8,5,13
14,7,86,"EWR","CLT","US",12,5,13
39,26,46,"LGA","DCA","US",11,22,16
-7,-25,106,"EWR","ATL","DL",2,17,6
17,18,168,"EWR","OMA","EV",8,3,8
-6,-26,108,"EWR","ORD","MQ",3,12,14
-4,-14,51,"EWR","IAD","EV",9,3,12
69,48,57,"JFK","BUF","B6",4,25,20
-1,-3,202,"JFK","SJU","B6",11,13,6
4,-4,38,"LGA","BOS","US",6,14,11
3,12,75,"JFK","CLE","MQ",4,28,14
-4,-17,211,"LGA","DEN","UA",7,19,15
43,21,102,"LGA","ATL","MQ",5,29,20
-2,21,85,"EWR","CLT","EV",7,23,6
-5,15,108,"EWR","ATL","DL",10,9,6
-1,-24,142,"LGA","PBI","B6",7,4,16
-7,-12,139,"LGA","TPA","B6",5,7,16
19,10,107,"EWR","ORD","MQ",6,4,10
-7,0,36,"JFK","BWI","MQ",4,30,18
-7,-23,192,"JFK","PSE","B6",5,2,23
-2,8,78,"LGA","CLT","US",7,26,17
-9,-12,46,"EWR","BOS","B6",5,11,8
-8,-22,138,"EWR","PBI","UA",2,21,6
103,90,56,"JFK","BUF","B6",5,23,22
-1,-15,83,"EWR","CVG","EV",9,26,13
55,64,149,"EWR","MCO","B6",1,3,17
-9,0,89,"EWR","CLT","US",4,1,13
-6,-10,78,"EWR","RDU","EV",1,23,8
41,45,141,"EWR","MSP","EV",6,26,17
-5,3,106,"EWR","CLT","EV",7,12,6
4,0,108,"LGA","MDW","WN",9,17,11
-4,-21,77,"JFK","CLT","US",9,15,18
26,21,76,"EWR","RDU","EV",1,23,6
-1,-23,315,"JFK","SEA","B6",6,25,9
-2,-9,107,"LGA","ATL","DL",3,27,10
1,8,156,"JFK","TPA","B6",2,26,20
62,38,150,"EWR","MSY","UA",5,6,12
-3,-6,170,"LGA","MIA","AA",11,2,13
-12,-18,75,"LGA","RDU","MQ",10,19,19
-10,-2,62,"JFK","BUF","B6",11,19,22
-5,-17,369,"JFK","SFO","VX",2,25,16
-5,-3,119,"EWR","ATL","DL",12,29,10
8,5,130,"JFK","JAX","B6",1,5,20
-4,-11,36,"JFK","BOS","9E",5,6,12
5,-21,221,"LGA","DEN","DL",5,11,17
26,13,130,"JFK","ORD","9E",11,21,15
21,31,38,"LGA","BOS","US",6,13,6
-4,-5,59,"JFK","BUF","B6",1,25,9
-10,-14,110,"LGA","BNA","MQ",9,26,8
47,65,114,"EWR","GSP","EV",4,4,15
13,17,77,"LGA","CLT","US",7,26,8
-6,-10,113,"LGA","ATL","FL",10,16,8
-6,-22,38,"EWR","BOS","B6",9,28,8
-8,-37,42,"LGA","IAD","9E",11,14,8
-1,9,199,"JFK","SJU","B6",3,29,23
-16,-38,117,"EWR","JAX","EV",9,5,14
-2,-13,149,"EWR","FLL","B6",12,14,6
7,1,340,"EWR","SAN","UA",5,10,19
-8,-36,343,"JFK","SEA","AA",3,1,18
3,-9,81,"LGA","CLT","US",3,28,12
-6,2,37,"LGA","PHL","US",5,9,6
-3,11,124,"JFK","BNA","MQ",2,1,17
13,-1,28,"JFK","PHL","9E",9,13,8
-3,-29,195,"JFK","SJU","DL",6,19,8
11,-24,312,"JFK","LAX","AA",10,6,16
-2,24,213,"JFK","HOU","B6",8,19,14
-3,-20,119,"EWR","STL","WN",9,14,7
-6,-23,111,"EWR","ORD","MQ",3,7,18
-8,-6,328,"JFK","LAX","VX",8,2,13
71,86,366,"JFK","SFO","UA",2,18,8
-10,40,136,"EWR","MCO","B6",8,23,17
0,-1,153,"EWR","PBI","UA",10,9,13
-8,-23,64,"LGA","PIT","EV",2,4,11
56,44,115,"LGA","BNA","MQ",6,28,15
58,61,41,"LGA","ROC","EV",10,15,19
-4,3,33,"LGA","BOS","US",4,22,21
-10,-26,158,"JFK","MSY","B6",4,5,20
-8,-11,74,"LGA","CMH","MQ",10,4,18
-2,-2,358,"EWR","SFO","UA",5,16,6
-2,-3,144,"LGA","PBI","B6",5,6,7
-1,-64,312,"EWR","LAX","UA",5,6,20
22,15,117,"JFK","MCO","B6",7,13,21
-5,-8,125,"LGA","STL","WN",9,5,15
-2,8,362,"JFK","LGB","B6",1,25,12
56,53,63,"LGA","RDU","MQ",10,28,19
15,-3,38,"LGA","SYR","EV",9,4,9
64,42,40,"JFK","BOS","B6",7,31,20
10,13,99,"EWR","MDW","WN",5,20,20
27,18,362,"JFK","SFO","DL",4,14,15
6,-2,153,"EWR","MSP","EV",6,10,6
31,20,349,"JFK","SFO","VX",7,26,10
-8,-7,46,"EWR","PWM","EV",2,5,21
82,41,268,"EWR","PHX","UA",5,5,18
-2,3,373,"JFK","SFO","DL",3,19,15
12,1,56,"JFK","PIT","9E",5,2,8
-2,-7,122,"EWR","MKE","EV",1,29,20
