assets,e401k,age,educ,income,incomecat,pension,married,twoearn,ira,ownhome
-1002,Not eligible,32,12,10164,0,No pension,Not married,No,No,Yes
-3600,Not eligible,30,12,27624,2,Receives pension,Not married,No,No,Yes
-12465,Not eligible,50,7,41217,3,No pension,Married,Yes,No,Yes
-6994,Not eligible,45,12,35565,2,No pension,Not married,No,No,No
-10275,Not eligible,30,14,57000,4,No pension,Married,Yes,No,Yes
5000,Not eligible,41,12,54852,4,Receives pension,Married,Yes,No,Yes
-19840,Not eligible,31,12,25002,1,No pension,Married,Yes,No,No
1384,Not eligible,30,16,46398,3,No pension,Married,Yes,No,Yes
0,Not eligible,46,14,18000,1,No pension,Not married,No,Yes,Yes
20700,Not eligible,38,10,33576,2,No pension,Married,No,No,Yes
2250,Not eligible,25,16,3150,0,No pension,Not married,No,No,No
59498,Not eligible,46,12,64203,4,Receives pension,Married,Yes,No,No
10,Not eligible,29,12,16194,0,No pension,Not married,No,No,Yes
1400,Not eligible,58,4,14400,0,No pension,Married,No,No,Yes
10600,Not eligible,46,11,41622,3,No pension,Married,No,Yes,Yes
-1068,Not eligible,42,12,60384,4,No pension,Married,Yes,No,Yes
41302,Not eligible,63,13,46122,3,No pension,Married,No,No,Yes
10055,Not eligible,34,12,41757,3,No pension,Married,No,Yes,Yes
-100,Not eligible,40,12,58320,4,No pension,Married,Yes,No,Yes
-5100,Not eligible,35,16,38244,3,No pension,Married,Yes,No,No
-550,Not eligible,43,12,14292,0,No pension,Married,No,No,Yes
-1400,Not eligible,37,13,24231,1,No pension,Married,Yes,No,Yes
800,Not eligible,32,12,25314,1,No pension,Not married,No,No,No
-1847,Not eligible,54,11,4917,0,No pension,Not married,No,No,No
-50,Not eligible,30,18,12051,0,No pension,Not married,No,No,No
3000,Not eligible,53,8,30780,2,Receives pension,Married,Yes,No,Yes
62800,Not eligible,57,13,61500,4,No pension,Married,No,Yes,Yes
-9100,Not eligible,29,17,49200,3,No pension,Married,Yes,No,Yes
0,Not eligible,49,4,11730,0,No pension,Married,No,No,No
24999,Not eligible,49,16,63396,4,No pension,Married,No,No,Yes
10,Not eligible,34,16,7329,0,No pension,Not married,No,No,No
0,Not eligible,26,15,17952,1,No pension,Not married,No,No,No
0,Not eligible,37,14,18942,1,No pension,Not married,No,No,No
-5000,Not eligible,25,12,27480,2,No pension,Married,Yes,No,Yes
20,Not eligible,57,12,6885,0,No pension,Not married,No,No,Yes
200,Not eligible,28,12,17370,1,No pension,Not married,No,No,No
0,Not eligible,32,16,37593,3,Receives pension,Married,Yes,No,No
-1345,Not eligible,63,11,16575,0,No pension,Married,Yes,No,No
-3250,Not eligible,27,14,29766,2,No pension,Married,No,No,Yes
11700,Not eligible,38,17,77124,4,No pension,Not married,No,Yes,Yes
3720,Not eligible,60,10,2307,0,No pension,Not married,No,No,Yes
-1600,Not eligible,28,11,29922,2,No pension,Married,Yes,No,Yes
26600,Not eligible,38,18,80550,4,No pension,Married,Yes,Yes,Yes
2700,Not eligible,44,14,32460,2,Receives pension,Married,No,No,Yes
49,Not eligible,38,14,39420,3,No pension,Married,Yes,No,Yes
0,Not eligible,42,1,18000,1,No pension,Not married,No,No,Yes
15599,Not eligible,61,8,19278,1,Receives pension,Not married,No,Yes,No
2905,Not eligible,51,12,19956,1,No pension,Married,No,No,Yes
15970,Not eligible,37,18,7182,0,No pension,Not married,No,No,Yes
-86500,Not eligible,57,12,47193,3,No pension,Married,Yes,No,No
-4200,Not eligible,27,12,13200,0,No pension,Not married,No,No,No
-2415,Not eligible,38,12,14892,0,No pension,Married,Yes,No,No
0,Not eligible,29,12,13500,0,No pension,Not married,No,No,No
44,Not eligible,46,16,72099,4,No pension,Married,No,No,Yes
90930,Not eligible,36,18,93648,4,No pension,Married,Yes,Yes,No
4700,Not eligible,56,12,48690,3,Receives pension,Married,Yes,Yes,Yes
-712,Not eligible,30,6,9009,0,No pension,Married,No,No,No
-635,Not eligible,29,9,36213,2,No pension,Married,Yes,No,No
0,Not eligible,26,14,10200,0,No pension,Not married,No,No,No
-2200,Not eligible,34,12,43716,3,Receives pension,Married,Yes,No,No
-5055,Not eligible,59,6,9078,0,No pension,Married,No,No,Yes
5399,Not eligible,31,12,13479,0,No pension,Married,No,Yes,No
-2100,Not eligible,29,17,31569,2,No pension,Married,No,No,Yes
600,Not eligible,49,12,17874,1,No pension,Not married,No,No,Yes
7299,Not eligible,31,12,43005,3,No pension,Married,Yes,Yes,Yes
15100,Not eligible,33,16,33885,2,No pension,Married,Yes,No,Yes
0,Not eligible,40,12,10260,0,No pension,Not married,No,No,No
31791,Not eligible,53,13,23721,1,Receives pension,Not married,No,Yes,Yes
-400,Not eligible,30,16,23118,1,Receives pension,Not married,No,No,No
-12000,Not eligible,32,12,25305,1,No pension,Married,Yes,No,Yes
499,Not eligible,47,16,49206,3,No pension,Married,Yes,No,Yes
4500,Not eligible,33,6,30075,2,No pension,Married,Yes,No,Yes
-10525,Not eligible,30,16,35058,2,No pension,Married,Yes,No,No
-170,Not eligible,43,10,15330,0,No pension,Married,No,No,No
0,Not eligible,26,12,22080,1,Receives pension,Not married,No,No,No
1000,Not eligible,44,16,65400,4,Receives pension,Married,Yes,No,No
-9764,Not eligible,43,12,11454,0,No pension,Married,No,No,Yes
17075,Not eligible,35,18,30300,2,No pension,Not married,No,No,Yes
2010,Not eligible,48,10,29238,2,No pension,Married,No,No,Yes
600,Not eligible,42,12,10428,0,No pension,Not married,No,No,Yes
41549,Not eligible,39,18,84111,4,Receives pension,Not married,No,Yes,Yes
26564,Not eligible,45,10,70035,4,No pension,Not married,No,No,No
0,Not eligible,40,12,10560,0,No pension,Not married,No,No,No
44763,Not eligible,62,11,40500,3,No pension,Married,Yes,Yes,Yes
1600,Not eligible,36,16,31869,2,No pension,Not married,No,Yes,No
10029,Not eligible,30,16,21306,1,No pension,Not married,No,No,Yes
29715,Not eligible,35,14,74178,4,No pension,Married,No,No,Yes
4144,Not eligible,44,12,47769,3,No pension,Married,No,No,Yes
-18500,Not eligible,56,12,12024,0,No pension,Not married,No,No,Yes
0,Not eligible,35,9,2640,0,No pension,Not married,No,No,No
-1564,Not eligible,49,12,22395,1,Receives pension,Married,Yes,No,Yes
385000,Not eligible,43,12,50484,3,No pension,Not married,No,Yes,Yes
-4000,Not eligible,45,16,42576,3,Receives pension,Not married,No,No,No
0,Not eligible,38,12,10443,0,No pension,Not married,No,No,No
1800,Not eligible,32,14,19224,1,Receives pension,Not married,No,No,No
1500,Not eligible,32,13,34455,2,No pension,Married,Yes,Yes,Yes
-21070,Not eligible,27,16,33453,2,Receives pension,Married,Yes,No,Yes
12500,Not eligible,44,15,21234,1,Receives pension,Not married,No,Yes,Yes
6000,Not eligible,32,14,21930,1,No pension,Not married,No,No,No
-5000,Not eligible,48,12,45165,3,No pension,Married,Yes,No,Yes
-300,Not eligible,39,12,20760,1,No pension,Married,Yes,No,Yes
-3900,Not eligible,31,12,27150,2,No pension,Not married,No,No,No
850,Not eligible,26,13,16116,0,No pension,Married,No,No,No
-595,Not eligible,31,12,31536,2,Receives pension,Married,Yes,No,Yes
12877,Not eligible,31,12,37461,3,No pension,Married,Yes,No,Yes
60300,Not eligible,38,12,110181,4,No pension,Married,Yes,Yes,No
30,Not eligible,35,14,24123,1,Receives pension,Not married,No,No,No
-15565,Not eligible,35,13,28782,2,No pension,Married,Yes,No,Yes
1500,Not eligible,42,18,36666,2,No pension,Married,Yes,No,Yes
300,Not eligible,44,10,72975,4,Receives pension,Married,Yes,No,Yes
-5250,Not eligible,48,12,49656,3,No pension,Married,Yes,No,No
-10491,Not eligible,36,15,36267,2,No pension,Married,Yes,No,Yes
1300,Not eligible,35,12,55374,4,No pension,Married,Yes,Yes,Yes
0,Not eligible,28,12,22833,1,No pension,Not married,No,No,No
-2000,Not eligible,37,16,69120,4,No pension,Married,Yes,No,No
1000,Not eligible,34,11,24465,1,No pension,Married,Yes,No,No
454,Not eligible,46,17,80862,4,Receives pension,Married,Yes,No,Yes
209,Not eligible,30,12,33420,2,No pension,Married,Yes,No,No
1460,Not eligible,54,8,7440,0,Receives pension,Not married,No,No,Yes
-9600,Not eligible,47,12,15141,0,No pension,Married,No,No,Yes
4572,Not eligible,34,12,20667,1,No pension,Married,Yes,Yes,No
25699,Not eligible,52,13,30870,2,No pension,Married,Yes,No,Yes
2924,Not eligible,27,12,16860,0,No pension,Not married,No,No,No
0,Not eligible,43,14,16080,0,No pension,Not married,No,No,No
26000,Not eligible,40,18,52998,3,Receives pension,Not married,No,No,Yes
740,Not eligible,28,13,16830,0,Receives pension,Not married,No,No,No
4000,Not eligible,63,8,37320,3,No pension,Married,No,No,Yes
1799,Not eligible,54,18,53133,3,No pension,Married,Yes,No,No
100,Not eligible,35,12,28998,2,Receives pension,Not married,No,No,No
4500,Not eligible,59,7,7740,0,No pension,Married,No,No,Yes
-300,Not eligible,33,12,13755,0,Receives pension,Not married,No,No,No
200,Not eligible,30,14,42315,3,No pension,Married,Yes,No,Yes
200,Not eligible,58,12,20490,1,No pension,Married,Yes,No,Yes
-397,Not eligible,35,12,21177,1,No pension,Not married,No,No,No
0,Not eligible,35,12,21735,1,No pension,Married,Yes,No,No
-9550,Not eligible,42,12,12600,0,No pension,Not married,No,No,Yes
130812,Not eligible,59,12,45519,3,No pension,Married,Yes,Yes,Yes
49,Not eligible,48,13,26958,2,No pension,Married,No,No,No
4600,Not eligible,32,15,50970,3,No pension,Married,No,No,Yes
50,Not eligible,43,12,39612,3,No pension,Married,Yes,No,Yes
-1951,Not eligible,31,13,24012,1,No pension,Married,Yes,No,No
-2854,Not eligible,54,16,28059,2,No pension,Married,Yes,Yes,No
0,Not eligible,27,12,16200,0,No pension,Not married,No,No,No
1800,Not eligible,45,12,14850,0,No pension,Not married,No,No,Yes
41499,Not eligible,58,13,20976,1,No pension,Not married,No,No,Yes
-3386,Not eligible,29,1,16902,0,No pension,Married,No,No,No
-400,Not eligible,63,12,11877,0,No pension,Not married,No,No,No
-6397,Not eligible,43,14,11103,0,No pension,Not married,No,No,No
-1700,Not eligible,29,16,39051,3,No pension,Not married,No,No,No
-500,Not eligible,51,18,19968,1,No pension,Not married,No,No,Yes
-225,Not eligible,44,13,42744,3,Receives pension,Married,Yes,No,No
8400,Not eligible,38,16,78396,4,No pension,Married,Yes,Yes,Yes
-11635,Not eligible,37,11,34803,2,No pension,Married,Yes,No,Yes
2750,Not eligible,44,12,10446,0,No pension,Married,No,No,Yes
67600,Not eligible,44,1,34755,2,No pension,Married,No,No,Yes
31,Not eligible,29,12,15174,0,No pension,Not married,No,No,Yes
-165,Not eligible,37,13,20421,1,No pension,Not married,No,No,No
28999,Not eligible,42,12,55110,4,No pension,Married,Yes,Yes,Yes
500,Not eligible,38,12,28050,2,No pension,Married,No,No,Yes
50,Not eligible,40,12,12120,0,Receives pension,Not married,No,No,Yes
0,Not eligible,31,12,28080,2,No pension,Married,Yes,No,Yes
-101436,Not eligible,31,13,42555,3,No pension,Married,Yes,No,No
3399,Not eligible,31,16,37509,3,No pension,Not married,No,No,No
0,Not eligible,35,12,9042,0,Receives pension,Not married,No,No,No
4210,Not eligible,42,18,57180,4,No pension,Married,Yes,No,Yes
131,Not eligible,39,18,11604,0,No pension,Married,Yes,No,Yes
-1804,Not eligible,27,5,23400,1,No pension,Married,Yes,No,No
259,Not eligible,62,16,20622,1,No pension,Not married,No,No,Yes
599,Not eligible,27,14,10836,0,No pension,Not married,No,No,Yes
1490,Not eligible,38,10,12816,0,No pension,Married,No,No,Yes
3450,Not eligible,33,15,43830,3,No pension,Married,Yes,Yes,Yes
2225,Not eligible,60,12,22986,1,No pension,Married,Yes,Yes,Yes
3000,Not eligible,60,13,37794,3,No pension,Married,Yes,Yes,No
100,Not eligible,52,10,4890,0,No pension,Not married,No,No,Yes
294,Not eligible,61,12,19545,1,No pension,Married,Yes,No,Yes
700,Not eligible,31,14,19860,1,No pension,Not married,No,No,No
52000,Not eligible,61,12,13206,0,No pension,Not married,No,Yes,Yes
89900,Not eligible,49,12,23250,1,No pension,Not married,No,Yes,Yes
1258,Not eligible,34,14,60615,4,No pension,Married,Yes,Yes,Yes
4000,Not eligible,31,16,23529,1,Receives pension,Not married,No,No,No
3800,Not eligible,29,12,37704,3,No pension,Married,Yes,No,Yes
8199,Not eligible,33,6,24612,1,No pension,Not married,No,No,Yes
-13600,Not eligible,33,14,38550,3,No pension,Married,Yes,Yes,No
195000,Not eligible,44,17,128700,4,Receives pension,Married,Yes,Yes,Yes
-450,Not eligible,31,12,12816,0,No pension,Not married,No,No,No
0,Not eligible,47,14,37800,3,No pension,Not married,No,No,Yes
-7451,Not eligible,40,12,17880,1,No pension,Not married,No,No,No
-7920,Not eligible,41,12,19641,1,No pension,Not married,No,No,Yes
0,Not eligible,36,12,5103,0,No pension,Not married,No,No,No
30,Not eligible,29,12,12756,0,No pension,Not married,No,No,No
0,Not eligible,33,12,4845,0,No pension,Not married,No,No,No
12192,Not eligible,27,15,31830,2,No pension,Married,Yes,Yes,Yes
99,Not eligible,42,13,23430,1,No pension,Not married,No,No,No
900,Not eligible,36,15,42114,3,No pension,Married,Yes,No,No
5000,Not eligible,32,1,11100,0,No pension,Married,No,No,No
0,Not eligible,26,12,5280,0,No pension,Not married,No,No,Yes
-6301,Not eligible,39,12,37569,3,No pension,Married,Yes,No,No
24900,Not eligible,45,12,43239,3,Receives pension,Not married,No,Yes,Yes
59061,Not eligible,63,12,71184,4,No pension,Married,Yes,Yes,Yes
-350,Not eligible,31,16,59544,4,Receives pension,Married,Yes,No,Yes
0,Not eligible,30,11,4200,0,Receives pension,Not married,No,No,No
0,Not eligible,46,8,7668,0,No pension,Not married,No,No,Yes
0,Not eligible,55,11,7872,0,No pension,Not married,No,No,No
-2100,Not eligible,38,15,31896,2,Receives pension,Married,Yes,No,Yes
0,Not eligible,25,9,14439,0,No pension,Married,No,No,No
3899,Not eligible,34,12,19713,1,No pension,Married,No,No,No
28000,Not eligible,41,18,31254,2,Receives pension,Not married,No,No,Yes
62300,Not eligible,35,18,63525,4,No pension,Not married,No,Yes,No
-6600,Not eligible,43,12,31800,2,Receives pension,Not married,No,No,Yes
-451,Not eligible,60,10,24996,1,Receives pension,Married,Yes,No,Yes
0,Not eligible,51,12,36450,2,No pension,Married,No,No,Yes
2600,Not eligible,60,15,21072,1,No pension,Married,Yes,No,No
200,Not eligible,49,12,18012,1,No pension,Not married,No,No,Yes
-600,Not eligible,42,12,12240,0,No pension,Married,No,No,No
734,Not eligible,53,12,31386,2,No pension,Married,No,No,Yes
-4850,Not eligible,34,14,21645,1,Receives pension,Not married,No,No,No
-633,Not eligible,56,13,17724,1,No pension,Married,No,No,Yes
14800,Not eligible,53,12,37482,3,No pension,Married,Yes,Yes,Yes
-3300,Not eligible,58,10,27639,2,No pension,Married,No,No,Yes
360,Not eligible,26,16,30720,2,No pension,Not married,No,No,Yes
2549,Not eligible,38,11,18438,1,No pension,Married,No,No,No
-800,Not eligible,38,12,19125,1,No pension,Married,No,No,No
12000,Not eligible,35,12,13704,0,No pension,Married,No,Yes,Yes
749,Not eligible,53,12,34185,2,Receives pension,Not married,No,No,Yes
-40300,Not eligible,28,18,51660,3,No pension,Not married,No,No,Yes
0,Not eligible,35,12,1920,0,No pension,Married,No,No,No
-3650,Not eligible,37,11,20424,1,No pension,Married,No,No,Yes
-400,Not eligible,34,13,21600,1,No pension,Married,Yes,No,No
4700,Not eligible,36,16,56118,4,Receives pension,Not married,No,Yes,Yes
-425,Not eligible,28,12,20148,1,Receives pension,Married,Yes,No,No
-1150,Not eligible,44,12,16806,0,No pension,Married,No,No,Yes
-1093,Not eligible,31,15,13317,0,No pension,Married,Yes,No,Yes
-100,Not eligible,31,17,20475,1,No pension,Married,No,No,No
-3000,Not eligible,51,12,8730,0,No pension,Married,No,No,Yes
-150,Not eligible,28,12,19500,1,No pension,Not married,No,No,No
-16000,Not eligible,54,6,27858,2,No pension,Married,No,No,Yes
-1700,Not eligible,36,14,41694,3,Receives pension,Married,Yes,No,Yes
0,Not eligible,40,12,8850,0,No pension,Not married,No,No,No
0,Not eligible,29,12,7650,0,No pension,Not married,No,No,No
7499,Not eligible,25,12,51450,3,No pension,Not married,No,No,Yes
-57200,Not eligible,47,12,10542,0,No pension,Married,No,No,Yes
0,Not eligible,49,15,15300,0,No pension,Not married,No,No,No
86500,Not eligible,35,18,102171,4,Receives pension,Married,No,Yes,Yes
-5100,Not eligible,40,13,45231,3,No pension,Not married,No,No,Yes
-2674,Not eligible,30,10,13152,0,No pension,Not married,No,No,Yes
37316,Not eligible,38,11,27813,2,No pension,Married,Yes,Yes,Yes
6048,Not eligible,49,12,39123,3,No pension,Married,Yes,No,Yes
-2200,Not eligible,32,12,36150,2,No pension,Married,Yes,No,Yes
110,Not eligible,52,12,39219,3,No pension,Married,No,No,Yes
-300,Not eligible,55,12,10800,0,No pension,Not married,No,No,Yes
20649,Not eligible,58,10,20235,1,No pension,Married,No,Yes,Yes
-13300,Not eligible,38,12,62703,4,No pension,Married,Yes,No,Yes
310,Not eligible,43,14,23490,1,No pension,Not married,No,No,Yes
-150,Not eligible,27,12,15888,0,No pension,Not married,No,No,Yes
-9001,Not eligible,25,18,33729,2,No pension,Not married,No,No,No
1875,Not eligible,29,12,55845,4,No pension,Married,Yes,No,Yes
-650,Not eligible,40,15,19209,1,No pension,Not married,No,No,Yes
656,Not eligible,59,14,23976,1,No pension,Married,No,No,Yes
-32887,Not eligible,35,12,57156,4,No pension,Married,Yes,No,Yes
0,Not eligible,43,12,13743,0,No pension,Not married,No,No,No
-11900,Not eligible,39,12,7470,0,Receives pension,Not married,No,No,No
2550,Not eligible,36,15,77940,4,No pension,Married,Yes,No,Yes
-69300,Not eligible,46,12,16200,0,No pension,Married,Yes,No,Yes
3700,Not eligible,26,9,10404,0,No pension,Not married,No,No,Yes
0,Not eligible,54,16,27240,2,Receives pension,Not married,No,No,No
250,Not eligible,56,12,35742,2,No pension,Married,No,No,Yes
3660,Not eligible,63,8,28272,2,No pension,Married,No,No,Yes
39000,Not eligible,62,11,58272,4,Receives pension,Not married,No,No,Yes
-1246,Not eligible,42,12,14307,0,No pension,Married,No,No,No
215750,Not eligible,41,16,66018,4,No pension,Not married,No,No,Yes
-40650,Not eligible,38,14,6750,0,No pension,Not married,No,Yes,No
130,Not eligible,42,13,27000,2,Receives pension,Not married,No,No,Yes
11800,Not eligible,55,12,21801,1,Receives pension,Not married,No,Yes,Yes
8000,Not eligible,45,12,36495,2,Receives pension,Not married,No,No,No
469400,Not eligible,61,12,172092,4,No pension,Married,No,Yes,Yes
1599,Not eligible,64,13,6498,0,No pension,Not married,No,No,No
1225,Not eligible,35,14,24549,1,Receives pension,Not married,No,No,No
1006499,Not eligible,40,18,82251,4,No pension,Married,No,No,Yes
-1000,Not eligible,32,17,53796,3,No pension,Married,No,No,No
-148,Not eligible,60,6,7650,0,No pension,Not married,No,No,Yes
-3500,Not eligible,42,12,38817,3,No pension,Married,Yes,No,Yes
2398,Not eligible,31,14,19284,1,Receives pension,Not married,No,No,No
-3500,Not eligible,41,14,18675,1,No pension,Not married,No,No,Yes
20840,Not eligible,48,12,91230,4,Receives pension,Married,Yes,Yes,Yes
-1600,Not eligible,53,10,21816,1,Receives pension,Not married,No,No,No
97333,Not eligible,63,12,44799,3,No pension,Married,No,Yes,No
4200,Not eligible,28,15,48060,3,No pension,Married,Yes,Yes,Yes
43399,Not eligible,55,12,76077,4,Receives pension,Married,Yes,Yes,Yes
5692,Not eligible,33,18,49845,3,No pension,Married,Yes,Yes,Yes
4000,Not eligible,31,13,27708,2,No pension,Married,No,Yes,No
25,Not eligible,29,12,14670,0,No pension,Not married,No,No,No
-334,Not eligible,43,18,34299,2,No pension,Not married,No,No,Yes
11658,Not eligible,38,12,4584,0,No pension,Not married,No,Yes,Yes
0,Not eligible,28,14,19170,1,No pension,Married,Yes,No,No
16069,Not eligible,39,17,45762,3,No pension,Married,No,Yes,Yes
18000,Not eligible,52,12,21435,1,Receives pension,Not married,No,Yes,Yes
250,Not eligible,57,16,39312,3,No pension,Not married,No,No,Yes
6807,Not eligible,32,12,19035,1,Receives pension,Married,No,No,Yes
975,Not eligible,42,12,6639,0,No pension,Not married,No,Yes,Yes
-4960,Not eligible,27,13,17004,0,No pension,Not married,No,No,No
184500,Not eligible,36,16,118401,4,No pension,Married,No,Yes,Yes
20600,Not eligible,61,12,68220,4,No pension,Married,Yes,Yes,Yes
1500,Not eligible,33,12,16290,0,Receives pension,Not married,No,No,No
-2650,Not eligible,38,14,29481,2,No pension,Married,Yes,No,Yes
10499,Not eligible,35,15,15144,0,No pension,Married,No,Yes,No
9645,Not eligible,33,14,22050,1,No pension,Not married,No,No,No
5021,Not eligible,54,12,9600,0,No pension,Married,No,No,Yes
1200,Not eligible,30,13,22362,1,No pension,Not married,No,No,No
-9000,Not eligible,40,14,14241,0,No pension,Not married,No,No,No
1940,Not eligible,53,10,39192,3,No pension,Married,Yes,Yes,Yes
-9700,Not eligible,56,11,37869,3,No pension,Married,Yes,No,Yes
-1840,Not eligible,33,12,44388,3,No pension,Married,No,No,Yes
93521,Not eligible,54,14,52770,3,No pension,Married,No,Yes,Yes
1000,Not eligible,35,12,21450,1,No pension,Married,No,No,Yes
-160,Not eligible,36,12,9270,0,No pension,Not married,No,No,No
-1200,Not eligible,25,13,28830,2,No pension,Not married,No,No,No
0,Not eligible,61,9,3636,0,No pension,Not married,No,No,No
2399,Not eligible,50,12,22200,1,Receives pension,Not married,No,No,Yes
65897,Not eligible,56,12,39546,3,No pension,Not married,No,Yes,Yes
-3690,Not eligible,43,18,37146,2,Receives pension,Not married,No,No,Yes
42800,Not eligible,53,12,32559,2,No pension,Married,Yes,Yes,Yes
1200,Not eligible,29,12,15372,0,No pension,Not married,No,No,No
-6569,Not eligible,25,11,14484,0,No pension,Married,No,No,Yes
300,Not eligible,36,12,57624,4,No pension,Not married,No,No,Yes
15600,Not eligible,25,18,17793,1,No pension,Not married,No,No,No
4000,Not eligible,49,12,48168,3,Receives pension,Not married,No,No,Yes
1600,Not eligible,27,12,74970,4,No pension,Married,No,No,Yes
33926,Not eligible,59,12,43605,3,No pension,Married,No,Yes,Yes
0,Not eligible,45,12,2400,0,No pension,Married,No,No,No
21550,Not eligible,61,16,28926,2,No pension,Married,Yes,Yes,Yes
-250,Not eligible,41,12,31800,2,Receives pension,Not married,No,No,No
8550,Not eligible,59,12,31350,2,No pension,Not married,No,Yes,No
7500,Not eligible,60,12,43320,3,No pension,Married,Yes,No,Yes
-6600,Not eligible,32,16,52041,3,Receives pension,Married,No,No,Yes
-299750,Not eligible,42,10,53514,3,No pension,Married,Yes,No,Yes
0,Not eligible,42,8,16860,0,No pension,Not married,No,No,Yes
0,Not eligible,28,10,6006,0,No pension,Not married,No,No,No
-5100,Not eligible,31,11,33513,2,No pension,Married,Yes,No,No
4249,Not eligible,26,12,35325,2,No pension,Not married,No,No,Yes
-2225,Not eligible,60,12,22440,1,No pension,Married,Yes,No,Yes
125,Not eligible,43,12,13896,0,No pension,Not married,No,No,Yes
-4300,Not eligible,43,16,20583,1,Receives pension,Not married,No,No,No
35900,Not eligible,33,18,39351,3,No pension,Not married,No,Yes,No
400,Not eligible,58,12,12090,0,No pension,Not married,No,No,No
46800,Not eligible,58,12,24804,1,No pension,Not married,No,Yes,Yes
635,Not eligible,25,16,21630,1,No pension,Not married,No,Yes,No
-8388,Not eligible,28,12,28530,2,No pension,Married,Yes,Yes,Yes
4200,Not eligible,41,17,48336,3,Receives pension,Not married,No,No,Yes
0,Not eligible,31,12,12588,0,No pension,Married,Yes,No,No
1200,Not eligible,27,8,30162,2,No pension,Married,No,No,No
6200,Not eligible,49,12,19809,1,Receives pension,Not married,No,No,No
