nuts1,country,country_group,deg_mean,deg_sd,deg_q025,deg_q975,in_strength,out_strength,mult_in_strength,queen_degree,knn_k
FI2,FI,Northern,1.51,1.5922476331439546,1,7,0.508443403123915,0.99,0.8630688684192898,1,7
FR1,FR,Western,13.9,7.412111301066244,2,29.52499999999999,0.7837661742888318,1,1.3855030257900625,5,7
FRB,FR,Western,6.93,6.77675021188943,1,22.049999999999983,0.8756249893412239,0.99,1.6930876637756216,6,7
FRC,FR,Western,10.59,8.35825969030067,1,30,0.9169511628215902,1,1.6831762584477663,4,7
FRD,FR,Western,8.58,6.816764835923477,1,27.52499999999999,0.8334790330828372,1,1.4086283105518356,5,7
FRE,FR,Western,10.92,7.846610282745851,1,33,0.8376879242987028,1,1.567046605918358,5,7
FRF,FR,Western,8.6,8.324237460147884,1,29,0.9403728759564601,1,1.7248222352809686,8,7
FRG,FR,Western,10.17,5.11100021838419,2,21.52499999999999,0.9307057904380119,1,1.683352573895776,4,7
FRH,FR,Western,10.12,7.707113335068841,1,27,0.7898780122311908,1,1.4122409609530537,2,7
FRI,FR,Western,10.99,9.63106820386372,1,36.099999999999966,1.0287565356156732,1,1.8097533393328993,5,7
FRJ,FR,Western,6.7,7.340905181848413,1,27,0.7847419872620898,1,1.3815180897997434,5,7
FRK,FR,Western,12.18,7.560369826879629,2,31.52499999999999,0.8209361063836419,1,1.4730619833246754,6,7
FRL,FR,Western,10.9,10.49530919751844,1,43.574999999999974,0.7534063315406756,1,1.2770563191956243,3,7
FRM,FR,Western,3.29,3.1052090480872994,1,13.049999999999983,0.700182266009904,0.99,1.245906719522252,1,7
HU1,HU,CEE,1.29,0.8680059581790573,1,4.5249999999999915,1.140025951307361,1,4.23618405880428,3,7
HU2,HU,CEE,1.15,0.5924610544247622,1,3.5249999999999915,0.8262529707823298,1,2.1934641034379325,5,7
HU3,HU,CEE,1.18,0.4794778304562057,1,2,2.249350059899053,1,5.9635227672731155,5,7
IE0,IE,Western,2.12,0.4089898865164361,2,3.5249999999999915,0.4283135122249647,1,0.7493743041387868,1,7
ITC,IT,Southern,10.58,6.674510537042466,2,25.52499999999999,0.7115738551875062,1,1.264558589437565,4,7
ITF,IT,Southern,7.99,6.7066904632387025,1,25.049999999999983,0.8450742234513323,0.99,1.4804330303906539,1,7
ITG,IT,Southern,10.52,8.272480848810675,1,28.52499999999999,0.8354930711403236,0.98,1.4048282799508467,1,7
ITH,IT,Southern,11.72,6.835853193924581,2,26.52499999999999,0.7375873466357677,1,1.2855171952903026,5,7
ITI,IT,Southern,6.3,6.2223124091588105,1,23.52499999999999,0.764374210156784,0.99,1.3192409412820727,3,7
LT0,LT,Baltics,2.42,0.7410066862659939,2,4,1.3790196091715814,1,2.820269831878834,3,7
LU0,LU,Western,9.61,7.476420847361971,2,30.049999999999983,0.6231121118273169,1,1.0960298395406833,4,7
LV0,LV,Baltics,1.83,0.4277023415055065,1,2,0.8764954844828916,1,2.2325613246988505,2,7
MT0,MT,Southern,12.46,9.651942809610922,1,36.52499999999999,1.0052553364818793,1,1.510966104639487,1,7
NL1,NL,Western,11.06,6.500691493909698,3,27.574999999999974,0.5595318436404658,1,1.0037832603275945,3,7
NL2,NL,Western,7.65,5.594685429092958,1,20.52499999999999,0.8280325558174089,1,1.4130497496220622,5,7
NL3,NL,Western,11.5,7.358771307189478,2.475,28.574999999999974,0.754223531434401,1,1.3353597218667859,4,7
NL4,NL,Western,7.71,5.457447880991387,1,23,0.7996884030934734,1,1.3825161392168075,5,7
PL2,PL,CEE,1.09,0.28762349126466136,1,2,1.7317873026024595,1,9.810681745111255,5,7
PL4,PL,CEE,1,0,1,1,1.7895263687553946,1,10.175330462878454,6,7
PL5,PL,CEE,1.67,0.5328596381218922,1,2.5249999999999915,0.682735072883573,1,1.5953407034739726,5,7
PL6,PL,CEE,1.93,0.3258245174347937,1,2,2.195718171246702,1,7.158611015650755,5,7
PL7,PL,CEE,1.11,0.31446603773522014,1,2,0.5879964640480492,1,1.2470110879730438,6,7
PL8,PL,CEE,1,0,1,1,2.50976582250776,1,5.650391128733301,6,7
PL9,PL,CEE,1.08,0.27265992434429076,1,2,0.8173177432803812,1,2.8679686381248874,3,7
PT1,PT,Southern,9.29,5.3490204899607745,1,20.52499999999999,0.8162846940836049,1,1.393612195005701,3,7
PT2,PT,Southern,10.45,5.1096561389770505,2,19.52499999999999,0.6919678275295889,1,1.180964145547225,1,7
PT3,PT,Southern,9.87,8.14720005197299,2,31.099999999999966,0.54529972410132,1,0.9532025377978799,1,7
RO1,RO,CEE,2.2,0.5318160234783105,1,3,3.084133753514762,1,8.768397204239893,4,7
RO2,RO,CEE,1.23,0.4229525846816507,1,2,0.9029502773367653,1,3.1508200952373473,3,7
RO3,RO,CEE,1.47,0.5213618530523515,1,2,1.1361520825540072,1,4.663124933071081,4,7
RO4,RO,CEE,1.64,0.5416025603090641,1,2.5249999999999915,1.3573907974549257,1,4.698051972827661,4,7
SE1,SE,Northern,1.03,0.1714466079977653,1,1.5249999999999915,1.1421415270364281,1,3.7514261157976496,2,7
SE2,SE,Northern,1.05,0.2190429135575903,1,2,2.3321277740692317,1,7.064507964454986,2,7
SE3,SE,Northern,1.13,0.4181488788081164,1,2.5249999999999915,1.2423131807849723,1,4.801143356249728,3,7
SI0,SI,CEE,16.11,8.721151578116553,4,33.52499999999999,0.7899289608016716,1,1.365680633374832,4,7
SK0,SK,CEE,3.41,1.531454712145787,1.475,8,0.4755665970855481,1,0.9194136103996893,7,7
