ind_id,survey_round,district_id,region_id,treated,treatment,event_phase,sex,age,age_sq,nonag_employment,decision_power,savings_account,dv_accept,dv_goingout,dv_kids,dv_arguing,dv_sex,dv_food,hh_size,age_head,survey_weight
IND_000017,2016,ET_D122,8,0,0,,1,40,1600,0,,0,1,0,1,0,0,0,5,52,1.5385
IND_000018,2011,ET_D018,1,0,0,,0,23,529,0,,,,,,,,,8,69,0.806
IND_000019,2016,ET_D131,10,0,0,,0,35,1225,1,,,,,,,,,4,53,0.7184
IND_000020,2019,ET_D134,11,0,0,,0,15,225,1,,,,,,,,,4,21,0.5265
IND_000021,2016,ET_D002,4,1,1,0,0,40,1600,1,,,,,,,,,8,52,0.6457
IND_000022,2019,ET_D011,2,1,1,1,1,37,1369,0,1,1,1,0,0,0,0,1,6,42,2.3407
IND_000023,2005,ET_D023,1,0,0,,1,23,529,0,,0,1,0,1,1,0,1,9,40,1.0337
IND_000024,2016,ET_D003,2,1,1,0,0,24,576,1,,,,,,,,,5,18,0.8849
IND_000025,2016,ET_D054,2,0,0,,1,31,961,1,,,0,0,0,0,0,0,6,61,0.7074
IND_000026,2011,ET_D138,12,0,0,,0,16,256,0,,,,,,,,,3,33,1.3501
IND_000027,2019,ET_D047,2,0,0,,1,22,484,0,,0,1,0,0,0,0,1,4,52,0.7662
IND_000028,2000,ET_D088,4,0,0,,1,39,1521,0,1,0,0,0,1,1,1,1,3,27,0.8948
IND_000029,2000,ET_D023,1,0,0,,1,35,1225,1,,0,0,1,1,1,0,1,3,18,0.5422
IND_000030,2011,ET_D073,3,0,0,,1,22,484,0,,0,1,,0,0,1,0,5,54,1.5576
IND_000031,2016,ET_D006,5,1,1,0,1,32,1024,1,1,0,1,,0,1,0,1,3,44,1.1387
IND_000032,2005,ET_D049,2,0,0,,0,28,784,1,,,,,,,,,4,37,0.9181
IND_000033,2016,ET_D041,1,0,0,,0,31,961,0,,,,,,,,,3,54,0.9703
IND_000034,2011,ET_D035,1,0,0,,1,21,441,1,,0,1,0,1,0,0,0,9,30,0.8443
IND_000035,2016,ET_D042,1,0,0,,1,21,441,0,,0,0,1,1,0,1,1,8,23,0.5986
IND_000036,2019,ET_D029,1,0,0,,0,36,1296,0,,,,,,,,,4,51,1.114
IND_000037,2019,ET_D094,4,0,0,,1,15,225,,0,0,0,1,0,0,0,0,3,56,0.6886
IND_000038,2016,ET_D095,4,0,0,,0,18,324,0,,,,,,,,,5,30,1.5494
IND_000039,2000,ET_D105,6,0,0,,1,20,400,1,1,1,1,1,1,0,1,0,7,40,0.5235
IND_000040,2016,ET_D007,1,1,1,0,0,26,676,0,,,,,,,,,4,39,1.6829
IND_000041,2011,ET_D124,9,0,0,,0,40,1600,1,,,,,,,,,4,39,1.4094
IND_000042,2005,ET_D048,2,0,0,,1,27,729,0,,0,1,0,1,1,1,0,2,31,0.8116
IND_000043,2019,ET_D112,7,0,0,,1,18,324,0,,0,0,,,0,,1,5,68,1.5595
IND_000044,2005,ET_D114,7,0,0,,0,38,1444,1,,,,,,,,,7,32,1.5926
IND_000045,2005,ET_D023,1,0,0,,1,24,576,0,1,0,1,0,1,1,0,1,6,24,0.4842
IND_000046,2019,ET_D119,7,0,0,,1,32,1024,0,1,,,1,0,,,0,6,50,0.8317
IND_000047,2011,ET_D075,3,0,0,,1,48,2304,0,,0,0,1,0,0,1,0,4,23,1.95
IND_000048,2005,ET_D003,2,1,0,-2,1,36,1296,0,1,0,0,1,,0,0,0,6,37,0.8622
IND_000049,2016,ET_D067,2,0,0,,1,34,1156,1,,0,1,1,1,1,,1,8,39,0.9017
IND_000050,2005,ET_D010,3,1,0,-2,1,18,324,0,,0,0,0,0,,0,1,4,58,1.3341
IND_000051,2016,ET_D073,3,0,0,,1,23,529,0,,0,1,1,1,1,1,0,4,40,1.6987
IND_000052,2005,ET_D035,1,0,0,,1,25,625,0,,,0,1,0,0,0,,6,39,0.5728
IND_000053,2019,ET_D127,9,0,0,,1,24,576,0,1,0,1,0,1,1,0,0,4,18,0.4527
IND_000054,2016,ET_D015,1,1,0,-1,1,42,1764,1,,0,1,1,1,1,1,1,2,30,0.5372
IND_000055,2011,ET_D040,1,0,0,,1,21,441,0,1,0,,0,1,0,0,0,6,41,1.4485
IND_000056,2019,ET_D112,7,0,0,,0,24,576,1,,,,,,,,,4,36,0.7543
IND_000057,2005,ET_D079,3,0,0,,1,25,625,0,1,0,1,0,1,0,1,1,6,39,1.2382
IND_000058,2016,ET_D139,12,0,0,,1,23,529,0,1,0,0,1,0,0,1,,7,29,1.1664
IND_000059,2016,ET_D012,1,1,0,-1,0,28,784,0,,,,,,,,,4,24,1.0988
IND_000060,2005,ET_D084,4,0,0,,1,30,900,0,1,0,1,0,1,0,0,0,6,50,1.2333
IND_000061,2011,ET_D013,2,1,0,-2,0,38,1444,1,,,,,,,,,6,60,0.7639
IND_000062,2000,ET_D102,5,0,0,,1,24,576,,1,0,1,0,1,0,1,0,5,24,1.1515
IND_000063,2000,ET_D061,2,0,0,,1,39,1521,0,1,0,1,,0,1,0,0,2,55,1.0011
IND_000064,2016,ET_D120,8,0,0,,1,26,676,0,1,0,1,,0,1,1,1,7,21,0.8714
IND_000065,2019,ET_D109,6,0,0,,1,33,1089,1,1,0,0,0,0,0,,1,2,43,0.5678
IND_000066,2011,ET_D024,1,0,0,,1,27,729,0,1,0,1,0,1,1,,0,7,48,0.735
IND_000067,2019,ET_D041,1,0,0,,1,25,625,0,1,0,,1,0,0,0,0,5,44,0.8629
IND_000068,2011,ET_D134,11,0,0,,1,22,484,1,0,0,1,0,1,0,0,0,2,47,1.683
IND_000069,2011,ET_D011,2,1,0,-1,1,23,529,0,,0,1,1,1,,0,0,5,49,0.8417
IND_000070,2005,ET_D006,5,1,0,-2,0,38,1444,0,,,,,,,,,4,45,0.6718
IND_000071,2019,ET_D054,2,0,0,,1,31,961,0,,0,1,1,0,0,0,1,6,42,1.2665
IND_000072,2011,ET_D120,8,0,0,,0,33,1089,1,,,,,,,,,6,62,0.9523
IND_000073,2019,ET_D096,5,0,0,,1,31,961,0,,0,0,0,1,0,1,0,2,43,1.1839
IND_000074,2019,ET_D102,5,0,0,,1,28,784,,,,1,0,,0,1,0,5,46,0.8
IND_000075,2011,ET_D084,4,0,0,,0,19,361,0,,,,,,,,,4,63,1.2123
IND_000076,2005,ET_D004,4,1,0,-2,1,20,400,,,0,1,1,0,0,1,1,4,49,0.7684
IND_000077,2016,ET_D012,1,1,0,-1,1,31,961,1,,0,1,1,0,0,,0,5,25,1.4247
IND_000078,2019,ET_D124,9,0,0,,0,42,1764,1,,,,,,,,,5,41,0.9382
IND_000079,2019,ET_D072,3,0,0,,1,28,784,1,,0,0,1,0,1,1,1,5,30,0.8263
IND_000080,2011,ET_D004,4,1,0,-1,1,29,841,0,,0,0,1,1,0,0,1,3,56,1.4247
IND_000081,2019,ET_D024,1,0,0,,1,25,625,0,,0,1,0,0,1,0,0,3,45,0.9503
IND_000082,2016,ET_D085,4,0,0,,1,48,2304,0,1,0,1,0,1,0,,0,4,49,0.8684
IND_000083,2019,ET_D081,3,0,0,,1,30,900,1,,0,1,1,0,0,,0,5,52,1.1454
IND_000084,2011,ET_D106,6,0,0,,1,39,1521,0,1,0,0,0,0,1,0,0,3,22,0.5377
IND_000085,2011,ET_D052,2,0,0,,0,35,1225,1,,,,,,,,,6,36,0.8363
IND_000086,2011,ET_D107,6,0,0,,1,33,1089,0,0,0,0,1,0,1,0,0,2,36,0.9675
IND_000087,2019,ET_D100,5,0,0,,0,41,1681,0,,,,,,,,,6,36,1.6095
IND_000088,2019,ET_D090,4,0,0,,1,37,1369,0,,0,0,0,1,1,1,,5,72,0.843
IND_000089,2016,ET_D100,5,0,0,,1,23,529,0,,1,1,0,1,1,0,,4,38,0.7415
IND_000090,2016,ET_D004,4,1,1,0,1,39,1521,0,,0,1,0,0,0,1,0,5,35,1.6267
IND_000091,2019,ET_D084,4,0,0,,1,17,289,0,,0,0,1,,1,0,0,5,46,0.8995
IND_000092,2011,ET_D132,11,0,0,,1,25,625,0,,0,1,0,1,0,0,1,5,44,1.3369
IND_000093,2016,ET_D034,1,0,0,,1,29,841,0,1,0,0,,1,1,0,1,5,38,0.7044
IND_000094,2011,ET_D011,2,1,0,-1,1,29,841,0,1,0,0,0,0,0,0,1,8,46,1.674
IND_000095,2000,ET_D080,3,0,0,,0,27,729,1,,,,,,,,,5,50,0.7516
IND_000096,2019,ET_D032,1,0,0,,1,39,1521,0,,0,0,1,0,0,1,0,3,52,0.7923
IND_000097,2016,ET_D073,3,0,0,,1,29,841,,1,0,,0,0,,0,1,4,30,0.4241
IND_000098,2019,ET_D121,8,0,0,,0,36,1296,1,,,,,,,,,1,42,1.1122
IND_000099,2016,ET_D077,3,0,0,,0,30,900,0,,,,,,,,,3,31,1.0333
IND_000100,2011,ET_D114,7,0,0,,1,23,529,0,,0,1,1,0,,,1,8,39,0.5931
IND_000101,2005,ET_D062,2,0,0,,1,15,225,0,0,0,1,0,0,0,0,0,2,44,0.5557
IND_000102,2005,ET_D015,1,1,0,-3,1,33,1089,1,1,0,1,0,0,0,0,1,6,50,0.4556
IND_000103,2019,ET_D127,9,0,0,,1,25,625,0,1,0,0,0,0,0,0,0,1,18,0.7766
IND_000104,2011,ET_D013,2,1,0,-2,1,42,1764,0,1,0,,0,1,1,0,0,7,45,1.2757
IND_000105,2005,ET_D133,11,0,0,,1,30,900,0,,0,,0,0,1,1,,7,43,0.75
IND_000106,2005,ET_D123,8,0,0,,0,40,1600,0,,,,,,,,,4,61,1.1513
IND_000107,2019,ET_D102,5,0,0,,1,24,576,0,,0,1,1,1,0,1,0,6,61,1.8089
IND_000108,2011,ET_D118,7,0,0,,0,44,1936,0,,,,,,,,,6,52,1.2841
IND_000109,2000,ET_D036,1,0,0,,0,28,784,0,,,,,,,,,3,38,1.016
IND_000110,2016,ET_D103,5,0,0,,0,26,676,0,,,,,,,,,7,40,0.7921
IND_000111,2016,ET_D129,10,0,0,,1,22,484,1,,0,1,1,0,1,,1,7,34,1.1993
IND_000112,2016,ET_D008,1,1,1,0,0,33,1089,1,,,,,,,,,4,50,0.4738
IND_000113,2019,ET_D093,4,0,0,,1,27,729,0,1,0,0,1,0,,0,1,4,33,0.7081
IND_000114,2016,ET_D102,5,0,0,,0,23,529,1,,,,,,,,,6,61,1.1555
IND_000115,2005,ET_D066,2,0,0,,0,32,1024,0,,,,,,,,,3,20,0.7918
IND_000116,2005,ET_D067,2,0,0,,1,30,900,1,,0,1,0,1,0,0,1,6,43,1.7145
IND_000117,2011,ET_D039,1,0,0,,1,26,676,0,1,0,0,1,1,1,,0,4,47,1.3441
IND_000118,2011,ET_D016,2,1,0,-2,0,24,576,1,,,,,,,,,4,24,0.6341
IND_000119,2011,ET_D010,3,1,0,-1,0,36,1296,0,,,,,,,,,5,18,1.0855
IND_000120,2019,ET_D105,6,0,0,,1,31,961,0,,0,1,1,1,0,1,0,4,28,1.1924
IND_000121,2005,ET_D135,11,0,0,,1,38,1444,0,0,0,1,0,1,1,0,1,6,35,1.4441
IND_000122,2011,ET_D054,2,0,0,,0,20,400,1,,,,,,,,,3,23,0.7109
IND_000123,2016,ET_D024,1,0,0,,0,27,729,1,,,,,,,,,7,52,1.1319
IND_000124,2011,ET_D025,1,0,0,,1,35,1225,0,,0,1,0,1,,0,0,6,18,0.8288
IND_000125,2011,ET_D109,6,0,0,,0,18,324,0,,,,,,,,,9,61,0.9501
IND_000126,2019,ET_D025,1,0,0,,0,34,1156,0,,,,,,,,,1,32,0.9347
IND_000127,2011,ET_D132,11,0,0,,1,35,1225,1,,0,1,0,0,0,0,1,7,28,0.7246
IND_000128,2019,ET_D060,2,0,0,,0,30,900,0,,,,,,,,,5,36,0.566
IND_000129,2005,ET_D039,1,0,0,,0,28,784,0,,,,,,,,,6,18,0.9152
IND_000130,2011,ET_D075,3,0,0,,0,43,1849,1,,,,,,,,,4,58,1.9074
IND_000131,2016,ET_D006,5,1,1,0,0,21,441,1,,,,,,,,,4,35,0.8109
IND_000132,2011,ET_D076,3,0,0,,1,31,961,0,1,0,0,1,0,0,0,0,8,44,0.6277
IND_000133,2000,ET_D119,7,0,0,,1,40,1600,0,,0,1,1,1,0,0,0,5,60,0.7844
IND_000134,2000,ET_D047,2,0,0,,1,47,2209,1,,0,0,1,0,1,0,1,5,37,0.8769
IND_000135,2000,ET_D045,2,0,0,,1,37,1369,1,,0,1,0,1,1,,1,5,18,1.1694
IND_000136,2000,ET_D014,6,1,0,-4,0,32,1024,1,,,,,,,,,5,32,0.8573
IND_000137,2005,ET_D052,2,0,0,,1,15,225,0,0,0,1,1,1,0,0,1,5,45,0.4998
IND_000138,2019,ET_D002,4,1,1,1,0,28,784,0,,,,,,,,,6,37,0.7902
IND_000139,2000,ET_D069,2,0,0,,0,20,400,0,,,,,,,,,7,28,1.4326
IND_000140,2016,ET_D083,4,0,0,,1,40,1600,0,,0,1,0,1,0,0,0,5,26,1.0852
IND_000141,2016,ET_D127,9,0,0,,0,20,400,0,,,,,,,,,8,45,1.0526
IND_000142,2019,ET_D007,1,1,1,1,1,40,1600,0,1,0,0,1,0,0,0,1,4,53,1.3728
IND_000143,2019,ET_D134,11,0,0,,1,26,676,0,,0,1,1,0,0,1,1,4,18,0.8963
IND_000144,2019,ET_D051,2,0,0,,1,18,324,0,,0,0,1,1,1,0,0,4,48,1.0382
IND_000145,2019,ET_D072,3,0,0,,1,24,576,0,1,0,0,1,0,0,,0,6,29,0.9375
IND_000146,2005,ET_D076,3,0,0,,0,19,361,0,,,,,,,,,6,37,1.1742
IND_000147,2011,ET_D087,4,0,0,,1,36,1296,0,,0,0,1,0,0,0,0,4,48,0.3656
IND_000148,2005,ET_D056,2,0,0,,0,34,1156,1,,,,,,,,,4,38,0.6969
IND_000149,2005,ET_D103,5,0,0,,1,33,1089,1,,0,1,1,,0,0,1,6,40,0.8117
IND_000150,2011,ET_D026,1,0,0,,1,45,2025,,,0,0,0,0,1,,0,6,44,1.0147
IND_000151,2005,ET_D108,6,0,0,,1,42,1764,0,,0,1,1,1,0,1,1,1,36,1.3436
IND_000152,2005,ET_D050,2,0,0,,1,26,676,0,,0,0,1,0,0,1,0,3,53,0.603
IND_000153,2000,ET_D011,2,1,0,-3,0,30,900,1,,,,,,,,,3,39,1.1256
IND_000154,2005,ET_D003,2,1,0,-2,1,29,841,0,,0,1,0,1,,0,1,4,47,0.8083
IND_000155,2019,ET_D018,1,0,0,,1,28,784,0,,,0,0,0,0,0,0,4,47,0.6165
IND_000156,2011,ET_D014,6,1,0,-2,0,43,1849,0,,,,,,,,,3,48,1.0222
IND_000157,2005,ET_D032,1,0,0,,1,38,1444,0,1,0,0,0,0,0,1,1,5,50,0.797
IND_000158,2016,ET_D082,3,0,0,,1,29,841,1,,1,1,0,0,1,1,0,7,73,1.4462
IND_000159,2011,ET_D135,11,0,0,,0,31,961,0,,,,,,,,,6,42,0.8104
IND_000160,2019,ET_D043,1,0,0,,1,37,1369,0,1,0,0,0,1,,0,0,4,27,1.1753
IND_000161,2011,ET_D071,3,0,0,,0,35,1225,1,,,,,,,,,4,46,1.2191
IND_000162,2016,ET_D066,2,0,0,,1,30,900,1,,1,0,0,1,0,,1,6,37,1.7941
IND_000163,2019,ET_D016,2,1,1,0,0,15,225,1,,,,,,,,,5,45,0.9609
IND_000164,2000,ET_D051,2,0,0,,1,42,1764,0,,0,0,0,0,0,0,1,8,46,0.8971
IND_000165,2019,ET_D036,1,0,0,,1,49,2401,0,1,0,0,0,0,0,0,0,3,34,0.7213
IND_000166,2016,ET_D025,1,0,0,,1,20,400,0,1,0,0,0,0,1,1,0,8,28,0.8824
IND_000167,2016,ET_D121,8,0,0,,0,24,576,1,,,,,,,,,8,62,1.1326
IND_000168,2019,ET_D123,8,0,0,,1,25,625,0,,0,,0,,0,0,0,7,50,0.9171
IND_000169,2019,ET_D030,1,0,0,,1,49,2401,1,0,0,1,0,1,0,0,1,4,49,1.2924
IND_000170,2005,ET_D137,12,0,0,,1,18,324,0,1,0,0,1,0,0,0,0,8,50,0.9284
IND_000171,2016,ET_D001,1,1,1,1,1,37,1369,0,,,0,1,0,1,1,0,6,47,1.382
IND_000172,2011,ET_D112,7,0,0,,1,42,1764,0,1,0,1,0,0,1,0,0,5,45,1.5123
IND_000173,2005,ET_D048,2,0,0,,1,15,225,0,,0,1,0,1,1,0,0,5,32,1.6967
IND_000174,2016,ET_D047,2,0,0,,0,39,1521,1,,,,,,,,,8,44,1.0604
IND_000175,2011,ET_D041,1,0,0,,1,40,1600,0,,0,1,0,0,0,0,1,3,39,0.865
IND_000176,2016,ET_D046,2,0,0,,1,32,1024,0,,0,0,0,0,1,1,1,8,46,0.9069
IND_000177,2016,ET_D130,10,0,0,,1,45,2025,0,1,0,1,0,1,0,,0,5,53,1.1232
IND_000178,2005,ET_D047,2,0,0,,1,33,1089,0,1,0,1,1,0,0,1,1,5,39,1.04
IND_000179,2005,ET_D110,6,0,0,,1,35,1225,,1,0,1,0,0,1,,0,6,26,1.1183
IND_000180,2011,ET_D060,2,0,0,,0,31,961,1,,,,,,,,,6,25,0.7443
IND_000181,2016,ET_D057,2,0,0,,1,27,729,0,1,1,,1,0,0,0,1,4,33,0.776
IND_000182,2016,ET_D118,7,0,0,,0,36,1296,0,,,,,,,,,10,53,0.9997
IND_000183,2019,ET_D005,3,1,1,1,1,30,900,,,1,0,1,0,,0,,3,54,0.8078
IND_000184,2000,ET_D039,1,0,0,,1,31,961,1,,0,1,1,,1,0,1,5,33,1.2943
IND_000185,2016,ET_D017,7,1,0,-1,0,32,1024,0,,,,,,,,,7,36,1.1627
IND_000186,2011,ET_D087,4,0,0,,1,42,1764,0,1,0,1,1,0,0,0,0,5,55,1.0191
IND_000187,2016,ET_D076,3,0,0,,0,31,961,1,,,,,,,,,6,29,1.1254
IND_000188,2005,ET_D071,3,0,0,,1,23,529,0,0,0,,1,1,0,1,,3,38,0.7231
IND_000189,2016,ET_D079,3,0,0,,0,22,484,0,,,,,,,,,7,39,0.5256
IND_000190,2019,ET_D114,7,0,0,,1,34,1156,1,1,,,1,1,0,0,1,3,67,0.5597
IND_000191,2011,ET_D045,2,0,0,,0,33,1089,0,,,,,,,,,4,32,1.251
IND_000192,2005,ET_D037,1,0,0,,0,22,484,0,,,,,,,,,6,53,1.1101
IND_000193,2011,ET_D021,1,0,0,,0,33,1089,1,,,,,,,,,9,39,0.4862
IND_000194,2011,ET_D012,1,1,0,-2,0,33,1089,0,,,,,,,,,6,50,0.7139
IND_000195,2016,ET_D047,2,0,0,,0,44,1936,0,,,,,,,,,8,35,0.5743
IND_000196,2016,ET_D020,1,0,0,,1,32,1024,0,,0,1,0,0,1,1,0,4,63,1.048
IND_000197,2016,ET_D025,1,0,0,,1,31,961,0,0,0,1,0,1,0,0,1,5,54,1.0309
IND_000198,2011,ET_D007,1,1,0,-1,1,27,729,1,,0,0,1,0,1,0,0,6,64,2.0539
IND_000199,2016,ET_D094,4,0,0,,1,35,1225,0,,0,0,1,0,1,0,1,6,38,0.8853
IND_000200,2000,ET_D102,5,0,0,,1,29,841,0,1,0,0,0,0,0,1,0,8,52,0.786
IND_000201,2005,ET_D092,4,0,0,,0,34,1156,0,,,,,,,,,5,42,0.9015
IND_000202,2005,ET_D109,6,0,0,,0,38,1444,1,,,,,,,,,5,42,0.6782
IND_000203,2000,ET_D118,7,0,0,,0,34,1156,1,,,,,,,,,4,41,0.6849
IND_000204,2005,ET_D062,2,0,0,,1,28,784,0,,0,1,1,1,0,0,1,2,24,0.8977
IND_000205,2019,ET_D040,1,0,0,,0,15,225,1,,,,,,,,,7,46,1.0035
IND_000206,2016,ET_D068,2,0,0,,0,18,324,0,,,,,,,,,6,51,0.6465
IND_000207,2019,ET_D088,4,0,0,,1,18,324,0,1,0,0,0,1,0,0,1,7,27,0.3507
IND_000208,2000,ET_D121,8,0,0,,1,32,1024,0,1,0,1,1,0,0,,1,5,40,0.8476
IND_000209,2005,ET_D122,8,0,0,,0,33,1089,0,,,,,,,,,3,37,0.702
IND_000210,2011,ET_D013,2,1,0,-2,0,34,1156,0,,,,,,,,,7,63,0.9172
IND_000211,2019,ET_D087,4,0,0,,1,23,529,0,,0,0,1,1,1,0,0,6,23,0.7454
IND_000212,2000,ET_D034,1,0,0,,0,43,1849,1,,,,,,,,,3,56,1.4741
IND_000213,2005,ET_D015,1,1,0,-3,1,39,1521,,1,0,1,1,1,0,0,0,5,58,0.9032
IND_000214,2011,ET_D095,4,0,0,,1,44,1936,0,,0,0,1,1,1,0,1,4,55,1.5943
IND_000215,2016,ET_D037,1,0,0,,1,31,961,1,,0,1,0,0,1,0,,4,49,0.784
IND_000216,2016,ET_D134,11,0,0,,1,41,1681,0,,0,1,1,1,1,0,0,4,36,1.1146
IND_000217,2005,ET_D081,3,0,0,,1,26,676,0,,0,1,1,1,0,0,1,7,52,0.6046
IND_000218,2005,ET_D043,1,0,0,,0,32,1024,1,,,,,,,,,5,61,1.7928
IND_000219,2005,ET_D031,1,0,0,,1,31,961,0,1,0,1,0,,1,0,0,5,56,0.8448
IND_000220,2011,ET_D028,1,0,0,,1,42,1764,0,,0,0,1,1,1,1,0,6,35,0.9952
IND_000221,2005,ET_D046,2,0,0,,0,34,1156,1,,,,,,,,,6,44,0.8327
IND_000222,2016,ET_D103,5,0,0,,0,22,484,1,,,,,,,,,3,18,1.3807
IND_000223,2016,ET_D013,2,1,0,-1,1,16,256,1,1,0,1,1,1,0,0,1,7,44,1.8253
IND_000224,2005,ET_D040,1,0,0,,1,37,1369,0,1,0,1,1,1,0,0,,3,53,0.7053
IND_000225,2016,ET_D055,2,0,0,,0,42,1764,1,,,,,,,,,2,33,1.0041
IND_000226,2000,ET_D118,7,0,0,,0,15,225,0,,,,,,,,,6,29,1.0912
IND_000227,2019,ET_D006,5,1,1,1,1,31,961,0,,0,0,1,1,0,0,1,1,52,1.235
IND_000228,2005,ET_D126,9,0,0,,1,28,784,1,,0,1,0,1,1,0,0,8,63,1.3425
IND_000229,2016,ET_D091,4,0,0,,1,38,1444,1,1,0,1,0,1,1,0,1,5,51,1.3274
IND_000230,2019,ET_D047,2,0,0,,1,28,784,0,,0,0,0,0,1,0,1,3,36,0.6691
IND_000231,2016,ET_D019,1,0,0,,1,32,1024,0,,0,0,0,0,1,1,,6,35,0.6994
IND_000232,2000,ET_D125,9,0,0,,1,19,361,1,,0,1,0,0,0,,0,4,41,0.2318
IND_000233,2011,ET_D091,4,0,0,,1,29,841,0,1,0,1,0,0,0,0,0,3,34,1.3017
IND_000234,2000,ET_D046,2,0,0,,1,41,1681,0,,,1,1,0,0,1,0,4,53,1.3548
IND_000235,2016,ET_D092,4,0,0,,0,24,576,1,,,,,,,,,6,32,0.984
IND_000236,2011,ET_D046,2,0,0,,1,15,225,1,,0,1,1,1,1,0,0,6,37,1.6276
IND_000237,2016,ET_D133,11,0,0,,1,29,841,0,1,,1,0,1,0,1,0,8,32,0.8321
IND_000238,2011,ET_D110,6,0,0,,1,25,625,1,,0,0,0,0,0,1,0,4,34,1.0324
IND_000239,2019,ET_D007,1,1,1,1,1,40,1600,0,,0,1,0,0,0,0,0,5,24,0.4406
IND_000240,2016,ET_D022,1,0,0,,1,30,900,0,1,1,1,0,0,0,1,0,3,18,0.949
IND_000241,2005,ET_D059,2,0,0,,0,26,676,0,,,,,,,,,7,23,1.3825
IND_000242,2016,ET_D085,4,0,0,,1,16,256,1,,0,1,0,0,1,1,0,4,71,1.1903
IND_000243,2011,ET_D080,3,0,0,,0,18,324,0,,,,,,,,,4,59,1.5852
IND_000244,2016,ET_D104,6,0,0,,1,31,961,0,,0,0,1,0,0,0,1,4,54,1.2467
IND_000245,2016,ET_D018,1,0,0,,1,21,441,0,,0,,1,1,0,0,1,5,47,0.4601
IND_000246,2019,ET_D051,2,0,0,,1,24,576,0,1,0,,0,1,1,0,0,6,19,0.3947
IND_000247,2000,ET_D025,1,0,0,,0,15,225,1,,,,,,,,,10,38,0.9839
IND_000248,2016,ET_D120,8,0,0,,1,29,841,0,,0,1,0,1,,1,0,5,39,1.5543
IND_000249,2011,ET_D016,2,1,0,-2,1,19,361,1,,0,1,1,1,,1,1,3,41,0.5261
IND_000250,2005,ET_D135,11,0,0,,1,30,900,0,,0,1,1,0,1,0,1,9,39,1.1357
IND_000251,2011,ET_D109,6,0,0,,1,34,1156,0,,0,1,0,1,0,0,0,7,54,0.7594
IND_000252,2011,ET_D119,7,0,0,,0,25,625,0,,,,,,,,,5,77,1.0141
IND_000253,2019,ET_D063,2,0,0,,1,26,676,,,0,,1,1,0,0,0,5,27,0.9987
IND_000254,2019,ET_D038,1,0,0,,1,29,841,1,1,0,1,0,,0,0,,5,43,0.9169
IND_000255,2019,ET_D080,3,0,0,,0,46,2116,1,,,,,,,,,9,34,1.0786
IND_000256,2005,ET_D093,4,0,0,,1,21,441,1,,0,1,0,1,0,1,0,6,36,1.4736
IND_000257,2019,ET_D100,5,0,0,,0,40,1600,0,,,,,,,,,6,36,1.3928
IND_000258,2011,ET_D005,3,1,0,-1,1,38,1444,1,1,0,1,0,0,0,0,1,3,48,0.8615
IND_000259,2016,ET_D128,10,0,0,,1,36,1296,0,,0,1,0,0,0,0,0,7,49,0.9896
IND_000260,2019,ET_D110,6,0,0,,1,51,2601,0,1,0,1,0,0,1,0,0,5,35,2.0652
IND_000261,2005,ET_D094,4,0,0,,1,30,900,1,1,,0,0,1,1,0,,6,41,1.23
IND_000262,2000,ET_D085,4,0,0,,1,25,625,0,1,0,0,0,1,0,1,1,3,69,1.9505
IND_000263,2016,ET_D087,4,0,0,,0,42,1764,0,,,,,,,,,4,43,0.7759
IND_000264,2016,ET_D032,1,0,0,,1,35,1225,0,,0,1,0,0,1,0,1,3,50,1.497
