hh_id,survey_round,district_id,region_id,treated,treatment,event_phase,durable_goods_pc,housing_quality,wealth_index,hh_size,age_head,survey_weight
HH_000044,2016,ET_D045,2,0,0,,,,1.6100073430519,2,61,0.5991
HH_000045,2016,ET_D012,1,1,0,-1,0.22823596452216918,1,0.22694749569105271,4,19,1.6181
HH_000046,2005,ET_D075,3,0,0,,0.438670213067504,1,,4,56,1.7255
HH_000047,2019,ET_D098,5,0,0,,0.31929126424818743,0,-0.23184254299168694,8,59,1.1248
HH_000048,2016,ET_D065,2,0,0,,0.3338697437902989,0,-1.1202535260499131,3,25,1.5704
HH_000049,2000,ET_D131,10,0,0,,0.4156405338264657,1,-2.7325116243283394,5,47,0.738
HH_000050,2019,ET_D067,2,0,0,,0.0215853108007788,0,,1,51,0.8634
HH_000051,2016,ET_D113,7,0,0,,0.7718092758013229,1,0.7130646700830165,4,51,0.9071
HH_000052,2000,ET_D092,4,0,0,,0.8406192686700934,0,,2,45,1.1546
HH_000053,2005,ET_D029,1,0,0,,-0.42269701380134,0,0.3783575687954711,6,37,1.2553
HH_000054,2019,ET_D029,1,0,0,,0.10143060124419567,0,0.14811079653977424,4,58,1.0854
HH_000055,2016,ET_D130,10,0,0,,0.4344212760391375,0,,7,37,0.5392
HH_000056,2016,ET_D061,2,0,0,,0.9710974708045503,1,-0.7116740417877387,5,34,0.6506
HH_000057,2016,ET_D031,1,0,0,,0.19338582763606885,1,0.7807509274518253,6,45,0.9163
HH_000058,2011,ET_D088,4,0,0,,-0.3076723076632354,1,-0.3729484023973632,9,34,1.2982
HH_000059,2011,ET_D052,2,0,0,,0.05198171271753907,,,5,40,1.6899
HH_000060,2016,ET_D019,1,0,0,,0.7187496917199049,0,,7,39,0.7799
HH_000061,2019,ET_D020,1,0,0,,1.067903639375526,0,0.6316986045717684,2,29,1.0035
HH_000062,2011,ET_D006,5,1,0,-1,0.7211589170139712,0,,3,23,0.7166
HH_000063,2016,ET_D005,3,1,1,0,0.6450293765433737,,2.27847369373468,2,34,1.0856
HH_000064,2019,ET_D136,12,0,0,,0.06134001118874771,1,,5,34,1.0833
HH_000065,2019,ET_D046,2,0,0,,-0.32606793123305566,0,0.36961457296704814,6,55,0.9626
HH_000066,2005,ET_D080,3,0,0,,1.080842567543187,,0.03635996716088853,1,43,1.0362
HH_000067,2011,ET_D113,7,0,0,,-0.08702257724886714,0,,6,48,1.3904
HH_000068,2016,ET_D006,5,1,1,0,-0.4388979690705812,0,1.7310738107487686,6,52,1.8729
HH_000069,2000,ET_D043,1,0,0,,-0.9189525906630364,0,-0.45846894561319984,7,54,1.0012
HH_000070,2016,ET_D055,2,0,0,,0.887535007984558,0,-0.7207734983365826,3,42,1.1857
HH_000071,2011,ET_D002,4,1,0,-1,0.38115010255654813,0,-0.7752769180760156,5,43,1.0267
HH_000072,2005,ET_D120,8,0,0,,0.1754025137507253,0,1.7542620795173107,6,26,0.5994
HH_000073,2019,ET_D077,3,0,0,,-0.46021154430149375,,,6,64,0.9966
HH_000074,2019,ET_D024,1,0,0,,0.8247069977349775,0,0.8548446226818727,7,42,1.9217
HH_000075,2000,ET_D117,7,0,0,,0.5371508783476577,0,-0.6165477265910752,7,31,0.5748
HH_000076,2016,ET_D014,6,1,0,-1,-0.05910424896265998,1,1.4467465448836951,4,42,1.4707
HH_000077,2019,ET_D013,2,1,1,0,0.6140471242171175,1,,5,62,1.4571
HH_000078,2019,ET_D098,5,0,0,,0.26819238499027714,1,,7,45,0.7297
HH_000079,2016,ET_D013,2,1,0,-1,0.8334510074685243,0,,7,58,1.1043
HH_000080,2011,ET_D097,5,0,0,,0.48223916656081556,0,-0.47047586129444974,6,40,1.2281
HH_000081,2019,ET_D053,2,0,0,,-1.0534540842630604,0,,5,74,0.9656
HH_000082,2011,ET_D082,3,0,0,,0.6378164161607514,1,0.9034662193844414,3,50,0.7246
HH_000083,2005,ET_D116,7,0,0,,0.6639994615831128,0,-0.018966625627593683,5,50,1.1962
HH_000084,2000,ET_D139,12,0,0,,1.7650002165059304,0,0.29499745960030743,6,63,0.8825
HH_000085,2011,ET_D076,3,0,0,,0.9286170063121075,0,0.5441264758406622,5,64,0.9195
HH_000086,2011,ET_D033,1,0,0,,0.35473965194040447,0,,7,54,1.4436
HH_000087,2016,ET_D136,12,0,0,,0.03158967289430731,1,1.176216610302887,4,53,1.0609
HH_000088,2011,ET_D102,5,0,0,,0.8932465722318946,0,-1.0641667522514093,4,40,0.5129
HH_000089,2016,ET_D004,4,1,1,0,1.0020595112438242,1,-0.7694577186252408,3,31,1.1101
HH_000090,2005,ET_D015,1,1,0,-3,0.1353586688840404,0,0.6848664226109178,3,55,0.5802
HH_000091,2016,ET_D131,10,0,0,,0.23903395255785342,0,-0.6424921701671008,7,30,0.6098
HH_000092,2005,ET_D113,7,0,0,,-0.035994639548131646,0,,6,47,0.406
HH_000093,2011,ET_D126,9,0,0,,0.32172093332724583,0,,6,41,1.3867
HH_000094,2016,ET_D088,4,0,0,,0.11992509085498015,0,1.5128747666836764,4,20,0.9683
HH_000095,2019,ET_D003,2,1,1,1,,0,-0.4385847163004446,1,23,1.0024
HH_000096,2000,ET_D102,5,0,0,,-0.21312746150411493,1,0.33827779483993614,5,25,0.1573
HH_000097,2019,ET_D080,3,0,0,,0.17534431020048888,1,,3,32,0.7276
HH_000098,2019,ET_D106,6,0,0,,0.310493444380466,0,-0.04858143967327216,3,35,1.2172
HH_000099,2019,ET_D093,4,0,0,,0.5756231491945206,0,2.0372205757461277,7,44,1.251
HH_000100,2011,ET_D083,4,0,0,,0.10059843166210916,0,,5,29,1.1129
HH_000101,2000,ET_D022,1,0,0,,0.5967241953245235,0,,4,34,1.1778
HH_000102,2005,ET_D103,5,0,0,,0.49173175281449893,0,,5,36,0.6145
HH_000103,2016,ET_D010,3,1,1,0,0.8285133498422379,,0.5008648556352217,5,18,1.2151
HH_000104,2016,ET_D100,5,0,0,,0.1519284588223487,0,-0.2608751438072744,3,27,1.0038
HH_000105,2005,ET_D017,7,1,0,-3,0.31579970257836976,1,1.8810756885494744,6,33,0.897
HH_000106,2019,ET_D011,2,1,1,1,0.971766068263602,0,,4,30,1.4909
HH_000107,2000,ET_D101,5,0,0,,-0.03914240341508321,0,-0.850580557359744,7,42,1.2722
HH_000108,2016,ET_D110,6,0,0,,1.2601788989305285,0,-1.0962202963049972,5,21,1.2991
HH_000109,2005,ET_D105,6,0,0,,0.16154248523586068,,,1,59,0.9939
HH_000110,2019,ET_D004,4,1,1,1,1.0527755287879144,1,0.7001541676918993,5,56,0.4553
HH_000111,2016,ET_D088,4,0,0,,,0,-0.1425791015528074,5,41,1.0229
HH_000112,2011,ET_D055,2,0,0,,0.17015699133767617,0,-1.198727267366831,8,37,1.4436
HH_000113,2000,ET_D010,3,1,0,-3,0.4291302383110834,1,,4,49,1.0408
HH_000114,2005,ET_D118,7,0,0,,0.47759220228912946,0,,4,65,0.664
HH_000115,2019,ET_D014,6,1,1,0,0.4001257588944752,0,1.525297983045519,4,43,0.5619
HH_000116,2000,ET_D045,2,0,0,,0.11948005149052598,0,-0.8044509661683575,4,46,1.2126
HH_000117,2011,ET_D016,2,1,0,-2,-8.501460453996801e-05,1,1.206712753330753,7,49,1.2479
HH_000118,2000,ET_D091,4,0,0,,-0.1539255700054712,1,-0.17114550773748133,3,21,0.4616
HH_000119,2016,ET_D090,4,0,0,,-0.06904755795787343,1,,1,54,1.1688
HH_000120,2011,ET_D104,6,0,0,,-0.0028914452042757,1,1.6096943220873814,5,24,0.5851
HH_000121,2019,ET_D086,4,0,0,,1.0947273562506554,0,0.5920852789930153,4,58,0.9045
HH_000122,2019,ET_D014,6,1,1,0,0.7010672888571062,0,0.9064519400927056,4,39,0.7813
HH_000123,2016,ET_D011,2,1,1,0,,1,-0.7264468243869171,3,43,0.8371
HH_000124,2000,ET_D110,6,0,0,,1.238589988851206,1,,5,25,1.0712
HH_000125,2005,ET_D061,2,0,0,,0.932050763138067,0,,5,35,0.4437
HH_000126,2011,ET_D136,12,0,0,,-0.5791840237685484,0,0.5296089538233841,3,36,1.2335
HH_000127,2011,ET_D101,5,0,0,,0.3020884882565001,0,-1.0456052249997945,6,38,0.7794
HH_000128,2000,ET_D002,4,1,0,-3,0.3920847442561419,,2.3303199978853937,4,39,0.7296
HH_000129,2000,ET_D095,4,0,0,,,1,-0.7499893173839934,3,46,0.9457
HH_000130,2011,ET_D033,1,0,0,,0.3204460548756814,0,0.263980795301986,6,60,1.2809
HH_000131,2005,ET_D119,7,0,0,,0.363627741505572,1,,2,41,1.1704
HH_000132,2005,ET_D007,1,1,0,-2,,0,,3,37,0.8688
HH_000133,2019,ET_D057,2,0,0,,0.6678354708325549,0,,4,37,1.3364
HH_000134,2016,ET_D008,1,1,1,0,0.5086907074723259,0,-0.12624581704702453,7,54,0.7761
HH_000135,2019,ET_D037,1,0,0,,0.3389344922747006,1,1.0340117502455857,5,48,0.8644
HH_000136,2005,ET_D037,1,0,0,,1.1328159736890795,0,,7,33,1.1257
HH_000137,2019,ET_D012,1,1,1,0,0.4964177931803416,0,,6,31,1.1856
HH_000138,2011,ET_D067,2,0,0,,-0.04594899706668809,0,0.3946032380922904,4,50,0.8534
HH_000139,2019,ET_D043,1,0,0,,0.17181296961328202,0,0.7684980246154763,6,35,1.3303
HH_000140,2016,ET_D101,5,0,0,,0.6377040218175539,0,1.7175987005724824,2,33,0.4357
HH_000141,2019,ET_D066,2,0,0,,-0.45819132209339736,0,-0.39327752156424783,4,54,1.548
HH_000142,2000,ET_D013,2,1,0,-4,,1,0.4215779599251964,6,19,0.7992
HH_000143,2019,ET_D115,7,0,0,,-0.12408177170273721,0,,3,46,0.592
HH_000144,2005,ET_D016,2,1,0,-3,,0,0.6294059374734963,6,39,0.9613
HH_000145,2005,ET_D003,2,1,0,-2,,0,-0.1843430924689362,2,43,1.4709
HH_000146,2016,ET_D014,6,1,0,-1,,1,-0.3615398202886231,6,24,1.2877
HH_000147,2011,ET_D010,3,1,0,-1,0.7261505613685306,0,,5,47,0.5667
HH_000148,2016,ET_D006,5,1,1,0,0.8988206450706046,1,,5,35,1.4125
HH_000149,2019,ET_D075,3,0,0,,0.5472675072242009,1,1.2489115100101595,4,24,1.3953
HH_000150,2011,ET_D112,7,0,0,,0.6048211563174039,0,-0.3980485812018453,3,37,0.9939
HH_000151,2011,ET_D113,7,0,0,,0.15846245880250553,0,-0.5484514536405943,4,33,0.5647
HH_000152,2011,ET_D003,2,1,0,-1,,1,0.7191183481191922,5,61,1.3184
HH_000153,2011,ET_D020,1,0,0,,-0.26353769340288213,1,1.0302460915790956,2,41,1.9701
HH_000154,2019,ET_D015,1,1,1,0,0.19093473760291052,1,,1,49,1.7608
HH_000155,2000,ET_D090,4,0,0,,0.7350763448195011,0,0.9800084568365693,8,43,0.8295
HH_000156,2011,ET_D108,6,0,0,,0.5049421643608547,0,2.513343696021182,3,38,0.8958
HH_000157,2005,ET_D004,4,1,0,-2,-0.27760665042529287,0,,3,46,1.2036
HH_000158,2019,ET_D106,6,0,0,,0.39170032635173996,0,,7,28,0.7995
HH_000159,2011,ET_D076,3,0,0,,-0.5534801667863489,,-0.8735076939057462,4,42,1.297
HH_000160,2011,ET_D136,12,0,0,,0.22635093318120922,1,-0.014655182016450871,4,41,0.5086
HH_000161,2016,ET_D002,4,1,1,0,-0.012343693962884816,0,2.1041210590850365,5,20,0.6328
HH_000162,2019,ET_D077,3,0,0,,0.04910885929113207,0,1.9571229769476335,6,49,0.5963
HH_000163,2016,ET_D082,3,0,0,,-0.2531006074568371,0,-1.2501534529033675,6,53,1.0152
HH_000164,2019,ET_D127,9,0,0,,-0.03784882160044167,1,-1.2504120204925644,6,57,1.0218
HH_000165,2019,ET_D017,7,1,1,0,,0,,7,37,1.2076
HH_000166,2016,ET_D061,2,0,0,,-0.06231841668184285,0,-0.6650838603957367,5,36,1.6297
HH_000167,2019,ET_D018,1,0,0,,0.08807708068337677,1,0.5341867874147912,3,28,1.5871
HH_000168,2011,ET_D117,7,0,0,,0.3118223360635394,0,0.20475681231357143,6,30,0.3616
HH_000169,2005,ET_D013,2,1,0,-3,0.7304042490580105,0,,7,26,1.0092
HH_000170,2016,ET_D114,7,0,0,,0.8575548650748186,0,-1.3202690443255887,3,63,0.705
HH_000171,2019,ET_D071,3,0,0,,0.1540437939494505,1,,10,55,1.3151
HH_000172,2005,ET_D023,1,0,0,,0.4963412651797597,,,5,35,0.9811
HH_000173,2000,ET_D004,4,1,0,-3,0.9904302093817957,,-1.4888174021453535,6,44,1.2987
HH_000174,2005,ET_D056,2,0,0,,0.7550635917389192,0,1.69554417206035,3,64,0.9696
HH_000175,2005,ET_D003,2,1,0,-2,,1,1.5388422967584514,4,48,0.8313
HH_000176,2016,ET_D075,3,0,0,,0.5684329401360793,1,0.10088623746370366,5,30,1.2927
HH_000177,2011,ET_D138,12,0,0,,0.5743590861002303,1,,6,47,1.3533
HH_000178,2019,ET_D050,2,0,0,,0.38176004500312666,0,,3,33,0.3601
HH_000179,2011,ET_D001,1,1,1,0,0.23171441553796063,1,,3,38,1.6655
HH_000180,2016,ET_D101,5,0,0,,-0.08470794240064272,0,-0.1184568552127735,6,46,0.8178
HH_000181,2016,ET_D082,3,0,0,,0.6901411787866275,0,1.0106270050534292,7,36,1.2443
HH_000182,2005,ET_D106,6,0,0,,0.05321439544110568,0,,7,44,0.9538
HH_000183,2019,ET_D125,9,0,0,,1.032359370417704,1,0.7650091783514856,4,38,1.8076
HH_000184,2011,ET_D015,1,1,0,-2,-0.09682730137230561,0,0.141369855388306,9,60,0.8613
HH_000185,2011,ET_D097,5,0,0,,0.7365278501052331,0,-1.4563900050122494,6,51,1.1284
HH_000186,2019,ET_D116,7,0,0,,0.7525069382570841,1,,2,39,1.2825
HH_000187,2011,ET_D015,1,1,0,-2,-0.33570647920053753,0,,6,18,0.8666
HH_000188,2000,ET_D010,3,1,0,-3,-0.14343419967341725,0,0.988014585118773,6,55,1.3806
HH_000189,2019,ET_D056,2,0,0,,,0,-1.4722228865339688,2,53,1.0937
HH_000190,2019,ET_D121,8,0,0,,0.2689726491353512,0,,4,42,0.8904
HH_000191,2016,ET_D059,2,0,0,,0.3078849876528364,0,0.4911317747277683,6,38,0.9233
HH_000192,2016,ET_D105,6,0,0,,0.444866712353296,1,,3,48,1.2201
HH_000193,2000,ET_D108,6,0,0,,0.03509463153363762,1,0.16298542911915098,3,25,0.5218
HH_000194,2016,ET_D004,4,1,1,0,0.6996018304179719,1,0.5098698301567247,2,59,0.9829
HH_000195,2000,ET_D022,1,0,0,,0.17400471101351567,0,-0.30546462563367255,3,35,1.2454
HH_000196,2000,ET_D084,4,0,0,,0.23800054952819102,0,-0.47205527665395863,6,59,1.1326
HH_000197,2000,ET_D070,3,0,0,,0.34248904349098086,1,-1.0270689592002784,4,45,1.2009
HH_000198,2011,ET_D094,4,0,0,,0.035977052371181095,1,,4,40,1.1544
HH_000199,2005,ET_D110,6,0,0,,0.03925359357121383,0,-1.3379366193385662,4,61,0.5786
HH_000200,2000,ET_D009,2,1,0,-3,-0.19453823699554412,1,-1.6577958605834207,6,47,0.8738
HH_000201,2005,ET_D089,4,0,0,,0.11172538041206154,0,,6,48,0.5888
HH_000202,2000,ET_D023,1,0,0,,0.17261801977725894,0,,3,46,0.7417
HH_000203,2005,ET_D036,1,0,0,,,,,5,66,1.5467
HH_000204,2005,ET_D007,1,1,0,-2,1.323953133698982,0,,6,31,0.7421
HH_000205,2016,ET_D031,1,0,0,,0.35479535972286386,0,,8,35,1.2059
HH_000206,2011,ET_D136,12,0,0,,,0,,7,18,1.2234
HH_000207,2019,ET_D025,1,0,0,,0.011205807680375796,,0.4931070990067878,10,25,1.1937
HH_000208,2000,ET_D095,4,0,0,,,0,,7,46,1.0052
HH_000209,2000,ET_D133,11,0,0,,0.7418345471489836,0,-0.5403090803209811,7,30,0.885
HH_000210,2019,ET_D014,6,1,1,0,0.02683150520577371,0,-0.6865995470554636,7,70,0.8323
HH_000211,2005,ET_D073,3,0,0,,-0.5334755769958459,0,,3,57,0.469
HH_000212,2011,ET_D090,4,0,0,,0.07827546401615612,0,-0.6595034025335611,3,18,0.8375
HH_000213,2005,ET_D001,1,1,0,-1,-0.03304569542427599,0,,5,35,0.6509
HH_000214,2016,ET_D128,10,0,0,,0.010651919187741277,0,-0.7754254003834992,7,18,1.593
HH_000215,2000,ET_D076,3,0,0,,-0.6880514579497559,0,,5,39,0.9769
HH_000216,2011,ET_D065,2,0,0,,-0.508560994136056,0,,4,23,0.8887
HH_000217,2011,ET_D012,1,1,0,-2,-0.3146547287438505,0,-0.26144989364314025,8,38,1.0187
HH_000218,2000,ET_D073,3,0,0,,,0,,4,53,1.2986
HH_000219,2016,ET_D109,6,0,0,,0.7352461776691708,1,0.7650455266970783,2,48,1.0762
HH_000220,2011,ET_D082,3,0,0,,-0.1608193724267965,0,0.7978869808865378,9,53,0.4577
HH_000221,2005,ET_D017,7,1,0,-3,,1,,2,45,0.9166
HH_000222,2005,ET_D097,5,0,0,,-0.5545191482557321,0,-0.1397979351922553,3,35,1.3213
HH_000223,2005,ET_D067,2,0,0,,-0.0015592421927956845,1,0.36248678636801457,5,46,0.5587
HH_000224,2019,ET_D064,2,0,0,,-0.3024379865251571,1,0.9013413086999941,7,26,1.6869
HH_000225,2000,ET_D050,2,0,0,,0.02492253046127231,1,0.7742133340288928,9,47,1.0232
HH_000226,2019,ET_D011,2,1,1,1,-0.14134451457651598,1,1.8471215714811475,3,45,0.7348
HH_000227,2016,ET_D077,3,0,0,,0.4656413542449449,0,-0.1768122076594735,6,62,1.0478
HH_000228,2016,ET_D041,1,0,0,,0.5530548069740893,0,-1.3118913248679114,5,42,1.3687
HH_000229,2005,ET_D066,2,0,0,,-0.2981718155380494,0,,5,49,0.5687
HH_000230,2000,ET_D003,2,1,0,-3,0.18982434497283868,1,1.0527819638050926,2,29,0.5987
HH_000231,2005,ET_D001,1,1,0,-1,0.8078653909499196,0,,5,48,0.9919
HH_000232,2005,ET_D138,12,0,0,,0.07835400437621143,0,,4,64,0.7443
HH_000233,2016,ET_D121,8,0,0,,-0.028458449184111945,1,,8,49,1.1442
HH_000234,2011,ET_D132,11,0,0,,0.08758887297218959,0,,4,31,0.9133
HH_000235,2005,ET_D117,7,0,0,,1.091113642997326,1,-0.21246333377702092,3,32,0.4165
HH_000236,2005,ET_D093,4,0,0,,0.5363265757808924,0,0.20695852365980555,5,30,0.8083
HH_000237,2016,ET_D094,4,0,0,,-0.1423045325088276,1,-1.1667196380104015,9,57,0.7942
HH_000238,2016,ET_D063,2,0,0,,0.20939042708421376,,1.4501495373098856,3,34,1.1141
HH_000239,2000,ET_D088,4,0,0,,0.021088615142967282,1,0.4414945050962596,5,70,1.0921
HH_000240,2016,ET_D129,10,0,0,,0.6818631022844889,0,,5,54,1.6085
HH_000241,2019,ET_D038,1,0,0,,-0.3815747666895616,1,-0.06080000852325662,9,41,0.9559
HH_000242,2016,ET_D047,2,0,0,,1.233529704118613,0,-0.748309383852884,5,52,0.6401
HH_000243,2000,ET_D067,2,0,0,,,0,0.306933219847586,6,68,1.361
HH_000244,2016,ET_D129,10,0,0,,-0.038929562971811826,0,,7,57,1.3036
HH_000245,2016,ET_D093,4,0,0,,0.8453100117365606,0,,3,44,0.9127
HH_000246,2011,ET_D011,2,1,0,-1,0.6386304155636053,,-0.7027125689626488,4,51,0.9891
HH_000247,2016,ET_D045,2,0,0,,0.913260636802536,0,0.6127280285810968,7,65,0.6141
HH_000248,2016,ET_D028,1,0,0,,-0.3186903189600098,0,1.320962632053156,6,18,0.968
HH_000249,2000,ET_D005,3,1,0,-3,-0.7565874359705008,0,0.6204411955145526,5,42,1.2293
HH_000250,2011,ET_D003,2,1,0,-1,1.3392560626144263,1,,7,61,1.2244
HH_000251,2011,ET_D023,1,0,0,,0.5493812534184003,0,0.10321003260005077,8,37,0.7136
HH_000252,2016,ET_D025,1,0,0,,,1,,3,44,0.6396
HH_000253,2016,ET_D130,10,0,0,,0.16789686636984502,1,-1.2337438418426325,5,57,1.1316
HH_000254,2005,ET_D052,2,0,0,,0.6764312936539059,0,-0.39869819081581176,5,33,0.9761
HH_000255,2005,ET_D068,2,0,0,,,0,,7,26,0.848
HH_000256,2019,ET_D047,2,0,0,,0.1301584416087406,,,5,34,1.2817
HH_000257,2005,ET_D083,4,0,0,,,0,-0.9199634705989176,3,39,0.6181
HH_000258,2011,ET_D049,2,0,0,,0.4951890719152095,1,-0.29808187194317115,7,25,0.4286
HH_000259,2019,ET_D006,5,1,1,1,0.4674734978871603,1,,4,45,0.7599
HH_000260,2011,ET_D103,5,0,0,,,0,0.7003149410347228,1,37,1.3554
HH_000261,2011,ET_D052,2,0,0,,-0.09056212240853989,,0.861958352656945,4,48,0.7546
HH_000262,2011,ET_D043,1,0,0,,0.3010756663919555,0,0.5396683087980148,3,28,0.7957
HH_000263,2000,ET_D032,1,0,0,,0.9047641771655769,0,1.7672557408276757,3,47,0.9016
HH_000264,2016,ET_D068,2,0,0,,-0.06676259177513694,0,-2.122283244602943,4,64,2.093
HH_000265,2019,ET_D011,2,1,1,1,0.5335591917170934,0,,6,25,1.4217
HH_000266,2016,ET_D067,2,0,0,,-0.14267870027886229,0,-0.35294296554608173,8,50,1.0226
HH_000267,2016,ET_D053,2,0,0,,0.6811091168030854,0,0.4156050349436912,3,36,1.3948
HH_000268,2011,ET_D056,2,0,0,,-0.29459886539454616,0,0.2231284914458341,3,50,1.0109
HH_000269,2005,ET_D095,4,0,0,,0.40304412238434706,1,,7,39,1.1058
HH_000270,2019,ET_D003,2,1,1,1,-0.007545199934949398,1,-0.4912464776925153,3,57,0.8413
HH_000271,2019,ET_D096,5,0,0,,0.3801791415782333,1,,7,49,1.2079
HH_000272,2011,ET_D040,1,0,0,,0.766124057569377,0,,8,30,0.4336
HH_000273,2011,ET_D064,2,0,0,,0.8717883306188055,0,-0.0264640192947962,4,34,0.8352
HH_000274,2005,ET_D048,2,0,0,,-0.022318403794965413,0,2.037355826468711,4,35,0.7897
HH_000275,2011,ET_D067,2,0,0,,0.6339601335132532,1,0.3914528298633004,4,64,1.0655
HH_000276,2011,ET_D069,2,0,0,,0.5431825110738857,0,-1.0920124799812319,3,54,1.0032
HH_000277,2016,ET_D008,1,1,1,0,1.0506984773919048,1,,5,47,1.1938
HH_000278,2000,ET_D083,4,0,0,,0.4886686348285909,0,,7,54,1.5831
HH_000279,2005,ET_D010,3,1,0,-2,1.319090564666366,0,-2.2770051336269406,4,61,0.8601
HH_000280,2019,ET_D107,6,0,0,,-0.08492840838334376,0,-1.2938877891189424,5,39,0.616
HH_000281,2019,ET_D065,2,0,0,,0.7149349071654254,0,,5,38,1.5328
HH_000282,2011,ET_D012,1,1,0,-2,0.4342036869678849,0,0.8932131180230606,6,52,1.5785
HH_000283,2005,ET_D027,1,0,0,,-0.714983737637834,1,-0.39778533872612876,4,41,1.2046
HH_000284,2005,ET_D060,2,0,0,,-0.04066638921086685,1,1.114842873935891,4,26,0.7553
HH_000285,2019,ET_D060,2,0,0,,-0.2598156113773434,0,1.2983866509435211,3,35,0.6778
HH_000286,2019,ET_D106,6,0,0,,-0.5878191260438037,,,5,42,0.6544
