year,state,spillover
1970,Georgia,6.480037067717603e-08
1971,Georgia,-5.98749300934287e-08
1972,Georgia,-3.495750423780919e-08
1973,Georgia,5.254053263570313e-08
1974,Georgia,-9.471499959090578e-09
1975,Georgia,7.840731078090357e-09
1976,Georgia,-1.6966164409382145e-08
1977,Georgia,-5.7284473291474566e-08
1978,Georgia,1.256026584144365e-07
1979,Georgia,6.581243178516161e-09
1980,Georgia,-2.0835759124793183e-08
1981,Georgia,-2.7095551405409423e-08
1982,Georgia,-1.0735873536305007e-08
1983,Georgia,-4.984462663060185e-08
1984,Georgia,7.127409046177035e-08
1985,Georgia,-1.658540343214554e-08
1986,Georgia,3.074392253665792e-09
1987,Georgia,-2.9983407796407845e-08
1988,Georgia,-1.449527074871071e-06
1989,Georgia,-2.332344279292897e-06
1990,Georgia,-2.5699139266265546e-06
1991,Georgia,-3.373730508738504e-06
1992,Georgia,-3.1392037262605754e-06
1993,Georgia,-4.093674844196471e-06
1994,Georgia,-4.6365870870062054e-06
1995,Georgia,-5.1524636235228625e-06
1996,Georgia,-5.349323564939823e-06
1997,Georgia,-5.5377407914221525e-06
1998,Georgia,-5.9457662530746805e-06
1999,Georgia,-6.763402121305262e-06
2000,Georgia,-7.206585154827394e-06
1970,Idaho,0.007567612251219689
1971,Idaho,-0.0069633393611175055
1972,Idaho,-0.004111433193654299
1973,Idaho,0.006135180626414424
1974,Idaho,-0.0010081671571925454
1975,Idaho,0.0008101611910480756
1976,Idaho,-0.0023790454036264437
1977,Idaho,-0.006340907439081172
1978,Idaho,0.013860274636572405
1979,Idaho,0.0007913579577699864
1980,Idaho,-0.0020678491778825673
1981,Idaho,-0.00301002091897185
1982,Idaho,-0.0011285319754527705
1983,Idaho,-0.005755988575954098
1984,Idaho,0.008051062255181514
1985,Idaho,-0.0019269363468890845
1986,Idaho,5.283336874007887e-05
1987,Idaho,-0.0031969344909585913
1988,Idaho,-0.1601107666062844
1989,Idaho,-0.2592308317561227
1990,Idaho,-0.28550337062759507
1991,Idaho,-0.37636799551522565
1992,Idaho,-0.35018309607066267
1993,Idaho,-0.4574977709563672
1994,Idaho,-0.5165970600325829
1995,Idaho,-0.5739033196978328
1996,Idaho,-0.5957945359430608
1997,Idaho,-0.6163278070179877
1998,Idaho,-0.6611104568719177
1999,Idaho,-0.752997440870033
2000,Idaho,-0.8020959445139269
1970,Illinois,1.7088630960216733e-06
1971,Illinois,-1.5784315995574616e-06
1972,Illinois,-9.294399972077371e-07
1973,Illinois,1.3896240866671406e-06
1974,Illinois,-2.4162663918900763e-07
1975,Illinois,1.9917967035212315e-07
1976,Illinois,-4.774148989497462e-07
1977,Illinois,-1.4954634823425295e-06
1978,Illinois,3.2675784551031484e-06
1979,Illinois,1.7581099624521813e-07
1980,Illinois,-5.292433867907675e-07
1981,Illinois,-7.094274381756804e-07
1982,Illinois,-2.7142699289584013e-07
1983,Illinois,-1.3123482668873975e-06
1984,Illinois,1.865386980196604e-06
1985,Illinois,-4.33659702383693e-07
1986,Illinois,5.6521303469025953e-08
1987,Illinois,-7.728401423804598e-07
1988,Illinois,-3.772434556917688e-05
1989,Illinois,-6.0803679956396195e-05
1990,Illinois,-6.699110947803603e-05
1991,Illinois,-8.805813725890062e-05
1992,Illinois,-8.19465133298138e-05
1993,Illinois,-0.00010690199854232673
1994,Illinois,-0.00012095415233842743
1995,Illinois,-0.00013439211044958768
1996,Illinois,-0.00013953233705152855
1997,Illinois,-0.00014441035565182004
1998,Illinois,-0.00015500125622168072
1999,Illinois,-0.00017638803979755835
2000,Illinois,-0.00018793472518677275
1970,Indiana,2.711840835900148e-07
1971,Indiana,-2.505967377032903e-07
1972,Indiana,-1.4673752817770945e-07
1973,Indiana,2.2014148852349535e-07
1974,Indiana,-3.9204353151944815e-08
1975,Indiana,3.246107490326722e-08
1976,Indiana,-7.242472286748125e-08
1977,Indiana,-2.3913548405971597e-07
1978,Indiana,5.236798357316274e-07
1979,Indiana,2.7682373985271625e-08
1980,Indiana,-8.630331872723218e-08
1981,Indiana,-1.1326489109819704e-07
1982,Indiana,-4.4355531247219916e-08
1983,Indiana,-2.0851316826906442e-07
1984,Indiana,2.9770251288709917e-07
1985,Indiana,-6.91686551363091e-08
1986,Indiana,1.1659317669909797e-08
1987,Indiana,-1.2469270544670506e-07
1988,Indiana,-6.044516045966475e-06
1989,Indiana,-9.730690989994173e-06
1990,Indiana,-1.0721591201968294e-05
1991,Indiana,-1.408054467136708e-05
1992,Indiana,-1.3102360664419167e-05
1993,Indiana,-1.7087750060264283e-05
1994,Indiana,-1.9347781055540736e-05
1995,Indiana,-2.149952192195883e-05
1996,Indiana,-2.2321314835357954e-05
1997,Indiana,-2.3105739775252233e-05
1998,Indiana,-2.48057857378285e-05
1999,Indiana,-2.822040097132117e-05
2000,Indiana,-3.0069121561874112e-05
1970,Iowa,1.231257260376708e-05
1971,Iowa,-1.1362656853717113e-05
1972,Iowa,-6.718304258910735e-06
1973,Iowa,1.0020101834942352e-05
1974,Iowa,-1.7069091014633387e-06
1975,Iowa,1.396231703211015e-06
1976,Iowa,-3.5868156164553967e-06
1977,Iowa,-1.067320683781645e-05
1978,Iowa,2.32875205399381e-05
1979,Iowa,1.2737770102575042e-06
1980,Iowa,-3.697764240328638e-06
1981,Iowa,-5.066195238373439e-06
1982,Iowa,-1.9036219171312042e-06
1983,Iowa,-9.440323187953936e-06
1984,Iowa,1.3352700209878776e-05
1985,Iowa,-3.117163444355242e-06
1986,Iowa,2.9318354883116626e-07
1987,Iowa,-5.468520877801097e-06
1988,Iowa,-0.00026889246602889897
1989,Iowa,-0.00043394399941373363
1990,Iowa,-0.00047806231969513816
1991,Iowa,-0.0006289619497193058
1992,Iowa,-0.0005853242218204343
1993,Iowa,-0.0007638299620114737
1994,Iowa,-0.000863646983374457
1995,Iowa,-0.0009595105378423654
1996,Iowa,-0.0009962155787163454
1997,Iowa,-0.0010308698583189624
1998,Iowa,-0.001106236763503
1999,Iowa,-0.0012592292627305825
2000,Iowa,-0.0013415897818034467
1970,Kansas,5.014035662879337e-05
1971,Kansas,-4.6228425549293203e-05
1972,Kansas,-2.7377701304848757e-05
1973,Kansas,4.0793648525604455e-05
1974,Kansas,-6.85615607429213e-06
1975,Kansas,5.5668903844605215e-06
1976,Kansas,-1.5040383788195299e-05
1977,Kansas,-4.3068520784831324e-05
1978,Kansas,9.394168237704434e-05
1979,Kansas,5.204601748036453e-06
1980,Kansas,-1.4653605713863271e-05
1981,Kansas,-2.0442390160189918e-05
1982,Kansas,-7.618964029353492e-06
1983,Kansas,-3.837533401648727e-05
1984,Kansas,5.406453938420554e-05
1985,Kansas,-1.2697976459156734e-05
1986,Kansas,8.691248219491853e-07
1987,Kansas,-2.193237695290975e-05
1988,Kansas,-0.001084785139841057
1989,Kansas,-0.001752433143282414
1990,Kansas,-0.0019304386759887763
1991,Kansas,-0.0025414952185612407
1992,Kansas,-0.0023651106649092896
1993,Kansas,-0.003087362334466269
1994,Kansas,-0.0034891177253788042
1995,Kansas,-0.0038762072984293468
1996,Kansas,-0.004024431748852728
1997,Kansas,-0.0041639293404301045
1998,Kansas,-0.004467664116707312
1999,Kansas,-0.005086626130176208
2000,Kansas,-0.005419053656422014
1970,Kentucky,5.301147784280147e-07
1971,Kentucky,-4.896737140143159e-07
1972,Kentucky,-2.88041109530468e-07
1973,Kentucky,4.3092914261819717e-07
1974,Kentucky,-7.526163166744481e-08
1975,Kentucky,6.207341857020765e-08
1976,Kentucky,-1.4697418443461174e-07
1977,Kentucky,-4.6448331446526937e-07
1978,Kentucky,1.0153279906432999e-06
1979,Kentucky,5.445502852126083e-08
1980,Kentucky,-1.6493670693762398e-07
1981,Kentucky,-2.202666703169598e-07
1982,Kentucky,-8.464106155656737e-08
1983,Kentucky,-4.071888035127813e-07
1984,Kentucky,5.79203667763295e-07
1985,Kentucky,-1.346675909815076e-07
1986,Kentucky,1.8455946315043548e-08
1987,Kentucky,-2.4041680882760375e-07
1988,Kentucky,-1.1721454175506096e-05
1989,Kentucky,-1.8888563993209573e-05
1990,Kentucky,-2.081090166144577e-05
1991,Kentucky,-2.735109561226068e-05
1992,Kentucky,-2.545243421042187e-05
1993,Kentucky,-3.320205972901818e-05
1994,Kentucky,-3.757119251532117e-05
1995,Kentucky,-4.174608819477612e-05
1996,Kentucky,-4.33425800483235e-05
1997,Kentucky,-4.48592202512657e-05
1998,Kentucky,-4.8151023016993124e-05
1999,Kentucky,-5.479208917560072e-05
2000,Kentucky,-5.837931466466557e-05
1970,Louisiana,1.3141567710789558e-06
1971,Louisiana,-1.2137871373425924e-06
1972,Louisiana,-7.149387119000039e-07
1973,Louisiana,1.06872730280827e-06
1974,Louisiana,-1.855798804569986e-07
1975,Louisiana,1.5290804478240715e-07
1976,Louisiana,-3.681624863702382e-07
1977,Louisiana,-1.1494058886512448e-06
1978,Louisiana,2.5111642912975186e-06
1979,Louisiana,1.3525126256013208e-07
1980,Louisiana,-4.0624482240900763e-07
1981,Louisiana,-5.452852599773906e-07
1982,Louisiana,-2.0835660315015047e-07
1983,Louisiana,-1.009136327439819e-06
1984,Louisiana,1.4339516138932141e-06
1985,Louisiana,-3.3342707270094254e-07
1986,Louisiana,4.266993543637909e-08
1987,Louisiana,-5.936661468808779e-07
1988,Louisiana,-2.899177626431424e-05
1989,Louisiana,-4.673229992107224e-05
1990,Louisiana,-5.148757368799295e-05
1991,Louisiana,-6.768298272465926e-05
1992,Louisiana,-6.298565644183043e-05
1993,Louisiana,-8.216854123320729e-05
1994,Louisiana,-9.296540852423618e-05
1995,Louisiana,-0.00010329316840279432
1996,Louisiana,-0.00010724401385342332
1997,Louisiana,-0.00011099202566415727
1998,Louisiana,-0.00011913041855214885
1999,Louisiana,-0.00013557025841894301
2000,Louisiana,-0.0001444444754469629
1970,Maine,-1.3041017155046575e-13
1971,Maine,-1.7108732208725995e-13
1972,Maine,-1.8805508261721116e-13
1973,Maine,-1.467924448661506e-13
1974,Maine,-7.051426109683234e-14
1975,Maine,-1.648572833801154e-13
1976,Maine,-1.2336727195361164e-13
1977,Maine,-1.020623585645808e-13
1978,Maine,-1.918635916808853e-13
1979,Maine,-1.581952346896287e-13
1980,Maine,-1.6098624655569438e-13
1981,Maine,-1.5403429642901756e-13
1982,Maine,-1.049329512170516e-13
1983,Maine,-1.7375327843183187e-13
1984,Maine,-1.4558168004441542e-13
1985,Maine,-1.662016302361735e-13
1986,Maine,-1.6843841876834631e-13
1987,Maine,-1.9777530724240932e-13
1988,Maine,-1.6316619166900636e-13
1989,Maine,-1.7396075691067382e-13
1990,Maine,-9.347047580376966e-14
1991,Maine,-1.1488907603052212e-13
1992,Maine,-1.5244268070091493e-13
1993,Maine,-1.2480256827984703e-13
1994,Maine,-1.1903580343641807e-13
1995,Maine,-1.676909278103267e-13
1996,Maine,-1.7959109754883685e-13
1997,Maine,-1.6546550796192604e-13
1998,Maine,-1.5755290405650158e-13
1999,Maine,-1.552535877635819e-13
2000,Maine,-8.154756869771518e-14
1970,Minnesota,1.771048657847132e-05
1971,Minnesota,-1.6343501432237416e-05
1972,Minnesota,-9.66502367949147e-06
1973,Minnesota,1.441347973511995e-05
1974,Minnesota,-2.4530974576748577e-06
1975,Minnesota,2.0059270811344733e-06
1976,Minnesota,-5.168464948570772e-06
1977,Minnesota,-1.5346107640624497e-05
1978,Minnesota,3.348103160895732e-05
1979,Minnesota,1.8326544371063846e-06
1980,Minnesota,-5.311712458367879e-06
1981,Minnesota,-7.28445556729298e-06
1982,Minnesota,-2.7349292688313655e-06
1983,Minnesota,-1.3578076911821312e-05
1984,Minnesota,1.9201176125508822e-05
1985,Minnesota,-4.483269702205917e-06
1986,Minnesota,4.145947159088337e-07
1987,Minnesota,-7.859747781776605e-06
1988,Minnesota,-0.0003865955953683795
1989,Minnesota,-0.0006239300210324672
1990,Minnesota,-0.0006873613745761531
1991,Minnesota,-0.0009043612488495199
1992,Minnesota,-0.0008416171628635766
1993,Minnesota,-0.0010983002338262081
1994,Minnesota,-0.0012417887079915117
1995,Minnesota,-0.0013796199346643306
1996,Minnesota,-0.0014323962001688698
1997,Minnesota,-0.0014822125142933914
1998,Minnesota,-0.0015905622196026967
1999,Minnesota,-0.0018105593193277572
2000,Minnesota,-0.0019289754127095563
1970,Mississippi,4.2705952414223704e-07
1971,Mississippi,-3.9455186315535683e-07
1972,Mississippi,-2.3169531403652855e-07
1973,Mississippi,3.469886692641921e-07
1974,Mississippi,-6.104673264530902e-08
1975,Mississippi,5.0436747085313985e-08
1976,Mississippi,-1.1673048858256152e-07
1977,Mississippi,-3.7514402191334285e-07
1978,Mississippi,8.205822094225823e-07
1979,Mississippi,4.3770118574570915e-08
1980,Mississippi,-1.3405926501377506e-07
1981,Mississippi,-1.7782823041727623e-07
1982,Mississippi,-6.881992409262238e-08
1983,Mississippi,-3.2816424609620753e-07
1984,Mississippi,4.674810012573971e-07
1985,Mississippi,-1.0864111490320738e-07
1986,Mississippi,1.6201658897330163e-08
1987,Mississippi,-1.9472714647861268e-07
1988,Mississippi,-9.472596009604217e-06
1989,Mississippi,-1.5258698098159585e-05
1990,Mississippi,-1.6811980434368934e-05
1991,Mississippi,-2.2089098762307914e-05
1992,Mississippi,-2.0555312068154306e-05
1993,Mississippi,-2.6811424854960818e-05
1994,Mississippi,-3.034645978363244e-05
1995,Mississippi,-3.371964161579513e-05
1996,Mississippi,-3.500895690571894e-05
1997,Mississippi,-3.6236009122831095e-05
1998,Mississippi,-3.88977629873267e-05
1999,Mississippi,-4.4258588366210464e-05
2000,Mississippi,-4.715689366495326e-05
1970,Missouri,7.951148336394453e-06
1971,Missouri,-7.3378020324497584e-06
1972,Missouri,-4.338312737854722e-06
1973,Missouri,6.470654524173369e-06
1974,Missouri,-1.1025920895178842e-06
1975,Missouri,9.020004676926873e-07
1976,Missouri,-2.3149533501054974e-06
1977,Missouri,-6.893403206532867e-06
1978,Missouri,1.5040795439284693e-05
1979,Missouri,8.225042680578554e-07
1980,Missouri,-2.3889650325770616e-06
1981,Missouri,-3.2720209632202566e-06
1982,Missouri,-1.2297771150940661e-06
1983,Missouri,-6.096462103272415e-06
1984,Missouri,8.623618972603709e-06
1985,Missouri,-2.0130571613208304e-06
1986,Missouri,1.90360885062546e-07
1987,Missouri,-3.5323296460319397e-06
1988,Missouri,-0.00017367018313756545
1989,Missouri,-0.0002802674057073574
1990,Missouri,-0.0003087620693746942
1991,Missouri,-0.00040621722365133053
1992,Missouri,-0.00037803350631957926
1993,Missouri,-0.0004933196901849641
1994,Missouri,-0.0005577918837811524
1995,Missouri,-0.0006197067442317945
1996,Missouri,-0.0006434129058021341
1997,Missouri,-0.0006657961934791615
1998,Missouri,-0.0007144747086031202
1999,Missouri,-0.00081328328891218
2000,Missouri,-0.0008664771306118439
1970,Montana,0.0007084785767347
1971,Montana,-0.0006524543226464999
1972,Montana,-0.00038630064949059034
1973,Montana,0.0005756482362085023
1974,Montana,-9.550253374786735e-05
1975,Montana,7.695616523948559e-05
1976,Montana,-0.00021861077169796773
1977,Montana,-0.0006011161288657859
1978,Montana,0.001311991098686795
1979,Montana,7.381052647203887e-05
1980,Montana,-0.00020005979142969182
1981,Montana,-0.00028527722054003845
1982,Montana,-0.00010617646409735925
1983,Montana,-0.0005407263822274786
1984,Montana,0.0007585813121203586
1985,Montana,-0.00017983267077531764
1986,Montana,7.852908619014442e-06
1987,Montana,-0.0003043005255305815
1988,Montana,-0.015151861470754301
1989,Montana,-0.024506322293890513
1990,Montana,-0.026992631288100415
1991,Montana,-0.03556268228006539
1992,Montana,-0.03309212433254216
1993,Montana,-0.04321551021248884
1994,Montana,-0.04881520191376948
1995,Montana,-0.05422943683421064
1996,Montana,-0.05630102679931275
1997,Montana,-0.058245810116762324
1998,Montana,-0.06248479200332449
1999,Montana,-0.07115756856364241
2000,Montana,-0.07580288245509476
1970,Nebraska,8.570532650657867e-05
1971,Nebraska,-7.900720635825848e-05
1972,Nebraska,-4.6799899553658976e-05
1973,Nebraska,6.972483414943156e-05
1974,Nebraska,-1.169574603407284e-05
1975,Nebraska,9.485605660103147e-06
1976,Nebraska,-2.5817190143234827e-05
1977,Nebraska,-7.351460673089605e-05
1978,Nebraska,0.00016034680488749586
1979,Nebraska,8.900510089569024e-06
1980,Nebraska,-2.4943756988903942e-05
1981,Nebraska,-3.489303346527492e-05
1982,Nebraska,-1.299065493019782e-05
1983,Nebraska,-6.557724879438922e-05
1984,Nebraska,9.233297685154582e-05
1985,Nebraska,-2.1706747360346412e-05
1986,Nebraska,1.4047910877224012e-06
1987,Nebraska,-3.7403227070160486e-05
1988,Nebraska,-0.0018516114267867834
1989,Nebraska,-0.0029916718251534547
1990,Nebraska,-0.0032955122125048293
1991,Nebraska,-0.004339100955427839
1992,Nebraska,-0.004037941662993879
1993,Nebraska,-0.0052712901669504045
1994,Nebraska,-0.005956811144073629
1995,Nebraska,-0.0066176241704476585
1996,Nebraska,-0.006870662302935881
1997,Nebraska,-0.007108693525657679
1998,Nebraska,-0.007627058339394438
1999,Nebraska,-0.00868400571592928
2000,Nebraska,-0.009251464485006699
1970,Nevada,0.08521079953522542
1971,Nevada,-0.07837772581081952
1972,Nevada,-0.04603545163357562
1973,Nevada,0.06887635481283187
1974,Nevada,-0.011226199556700817
1975,Nevada,0.009060284712271806
1976,Nevada,-0.02710053175518539
1977,Nevada,-0.07047118776106245
1978,Nevada,0.15435273402013194
1979,Nevada,0.008948112042079185
1980,Nevada,-0.02253703352034222
1981,Nevada,-0.033485156890143
1982,Nevada,-0.012731658703708678
1983,Nevada,-0.06453847238589625
1984,Nevada,0.0901091468399838
1985,Nevada,-0.021757995537620586
1986,Nevada,0.0003786335110509526
1987,Nevada,-0.035422629615256725
1988,Nevada,-1.78405795869898
1989,Nevada,-2.891355747056711
1990,Nevada,-3.184141042435071
1991,Nevada,-4.199597320075671
1992,Nevada,-3.906875309858152
1993,Nevada,-5.106342398824714
1994,Nevada,-5.7644677273369
1995,Nevada,-6.404240314821566
1996,Nevada,-6.6480973264382195
1997,Nevada,-6.876903618412731
1998,Nevada,-7.376030300294807
1999,Nevada,-8.4022520026665
2000,Nevada,-8.949341556473138
1970,New Hampshire,-5.1716142479563135e-14
1971,New Hampshire,-9.72022462519817e-14
1972,New Hampshire,-1.115608938562218e-13
1973,New Hampshire,-1.0173835107707419e-13
1974,New Hampshire,-8.659526429255493e-14
1975,New Hampshire,-7.947846825118177e-14
1976,New Hampshire,-5.438778316602111e-14
1977,New Hampshire,-1.0207941159023904e-13
1978,New Hampshire,-1.139596861321479e-13
1979,New Hampshire,-1.1097540664195548e-13
1980,New Hampshire,-8.087113201327157e-14
1981,New Hampshire,-1.4983356777520384e-13
1982,New Hampshire,-5.5013060773489996e-14
1983,New Hampshire,-1.6533476809854618e-13
1984,New Hampshire,-1.3778276297671256e-13
1985,New Hampshire,-1.4858301256026608e-13
1986,New Hampshire,-1.563932983117411e-13
1987,New Hampshire,-8.706706466909964e-14
1988,New Hampshire,-1.2628333934117109e-13
1989,New Hampshire,-1.3977796697872691e-13
1990,New Hampshire,-1.0746816769824364e-13
1991,New Hampshire,-1.0778649084386416e-13
1992,New Hampshire,-1.080422862287378e-13
1993,New Hampshire,-9.953851076716092e-14
1994,New Hampshire,-7.702283255639486e-14
1995,New Hampshire,-1.5515979612246156e-13
1996,New Hampshire,-1.157047790911747e-13
1997,New Hampshire,-1.4680949789180886e-13
1998,New Hampshire,-1.2930740922456607e-13
1999,New Hampshire,-1.4297256711870432e-13
2000,New Hampshire,-5.784954737464432e-14
1970,New Mexico,5.719111424777168e-05
1971,New Mexico,-5.272202213809294e-05
1972,New Mexico,-3.1228589870511316e-05
1973,New Mexico,4.6527053736940614e-05
1974,New Mexico,-7.80625539236155e-06
1975,New Mexico,6.331715615621647e-06
1976,New Mexico,-1.7220377976516942e-05
1977,New Mexico,-4.906166060872863e-05
1978,New Mexico,0.00010701261433328853
1979,New Mexico,5.938967115562832e-06
1980,New Mexico,-1.6650958980829955e-05
1981,New Mexico,-2.3286554144760884e-05
1982,New Mexico,-8.671225408073724e-06
1983,New Mexico,-4.3760491857003105e-05
1984,New Mexico,6.161831997173125e-05
1985,New Mexico,-1.4485190892116861e-05
1986,New Mexico,9.431318568488223e-07
1987,New Mexico,-2.4964310705647107e-05
1988,New Mexico,-0.0012357309148139848
1989,New Mexico,-0.0019965574026524365
1990,New Mexico,-0.002199334099582205
1991,New Mexico,-0.002895767571674679
1992,New Mexico,-0.002694783700176879
1993,New Mexico,-0.003517864488503355
1994,New Mexico,-0.0039753858127741185
1995,New Mexico,-0.004416395666099007
1996,New Mexico,-0.004585265338201503
1997,New Mexico,-0.004744128762736533
1998,New Mexico,-0.005090081953004493
1999,New Mexico,-0.005795440243486889
2000,New Mexico,-0.0061741486913532715
1970,North Carolina,6.352923859367366e-08
1971,North Carolina,-5.870015678510754e-08
1972,North Carolina,-3.4277627952405965e-08
1973,North Carolina,5.1513254544488516e-08
1974,North Carolina,-9.279632058678544e-09
1975,North Carolina,7.681861399078117e-09
1976,North Carolina,-1.6654194001830548e-08
1977,North Carolina,-5.615125054418968e-08
1978,North Carolina,1.2310916943079063e-07
1979,North Carolina,6.454054380355955e-09
1980,North Carolina,-2.041347876229338e-08
1981,North Carolina,-2.6561202912489533e-08
1982,North Carolina,-1.0516648734437694e-08
1983,North Carolina,-4.886536788148987e-08
1984,North Carolina,6.98668691882176e-08
1985,North Carolina,-1.625675070613397e-08
1986,North Carolina,2.9967338491587725e-09
